name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dram (LP IED),dram_lp_ied,Improvised Explosive Tanker,Luddic Path,le_explode_dram,4,750,300,1500,1250,100,2,,120,70,50,35,60,50,NONE,,0,0,0,,,5,10,15,300,1,300,9,8000,8,20,60,0.25,4,4,,,,,,,,LP_bp,,1,8,12,,209.13
Phaeton (LP IED),phaeton_lp_ied,Improvised Explosive Tanker,Luddic Path,le_explode_phaeton,12,1850,600,2000,2500,150,2,,90,60,40,35,60,100,NONE,,0,0,0,,,15,30,15,600,2,400,8,20000,8,20,60,0.25,8,8,,,,,,,,LP_bp,,1,8,12,,209.13
Prometheus (LP IED),prometheus_lp_ied,Improvised Explosive Tanker,Luddic Path,le_explode_prometheus,22,10000,1500,6000,7500,300,80,,70,40,10,20,40,200,NONE,,0,0,0,,,35,70,15,3000,6,500,7,80000,2,20,80,0.25,12,12,,,,,,,ALWAYS_PANIC,LP_bp,0.05,1,8,12,,506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prometheus Mk. IV,le_prometheus3,Modified Siege Platform,Luddic Path,flarelauncher,24,11000,1300,7500,11250,350,60,,55,35,30,4,4,4000,OMNI,,180,0.5,1.2,,,300,350,200,800,10,80,5,260000,2,20,300,0.25,30,30,,,,,,,"CARRIER, COMBAT",rare_bp,0.1,0.8,3,6,,7676
,lp_dram_missile,Might of Ludd,Luddic Path,le_explode,0,7000,250,12000,4000,200,,,110,75,45,10,10,400,NONE,,0,0,0,,,0,0,0,0,0,0,5,0,1.25,5,300,0.5,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,8,12,,7683
,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle (LP-X),eagle_le_lp,Modified Cruiser,Luddic Path,ammofeed,14,6500,550,12000,10500,525,120,,70,65,60,35,45,1200,OMNI,,180,0.4,0.8,,,160,220,80,60,3,20,8,120000,3,12,480,0.25,20,20,,,,,,,HIDE_IN_CODEX,,0.25,0.6,2,3,,401
