name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Theocracy Targeting Core,vayra_caliph_core,,,Kadur Holy Fleet,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_caliph_core,"Increases damage dealt to fighters by %s, extends %s weapon range by %s, and %s reduces autofire accuracy.

Precludes the installation of a Dedicated Targeting Core or an Integrated Targeting Unit.",,graphics/hullmods/vayra_caliph_core.png
Advanced Point-Defense Subroutines,vayra_caliph_pdai,,,Kadur Holy Fleet,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraCaliphPDAI,"Wary of the danger posed to their flagship by hostile strike craft, the Kadur shiptechs who constructed the Caliph integrated advanced point defense subroutines into its gunnery control systems. All nonlarge nonmissile weapons installed on this component have the ability to automatically target incoming enemy missiles and to identify - and ignore - decoy flares. Targeting missiles takes priority over targeting enemy ships or fighters.

In addition, all point defense weapons have significantly reduced recoil as well as the best possible target leading, regardless of combat readiness.",,graphics/hullmods/vayra_caliph_pdai.png
Missile Autoforge,vayra_slow_autoforge,,,Kadur Holy Fleet,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraSlowAutoforge,"The vaulted halls of the Caliph-class superdreadnought contain a %s, which slowly %s of all missile weapons mounted to the central hull at a rate of %s of each weapon's magazine every %s seconds.",,graphics/hullmods/missile_autofactory.png
Modular Shields,vayra_modular_shields,,,Kadur Holy Fleet,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_modular_shields,"The Caliph is fitted with a pair of centrally placed %s as well as an integral %s, powered by the colossal %s mounted to the dreadnought's aft section. If the generator is %s, the emitters and force-transfer skinshield will likewise stop functioning.",,graphics/hullmods/vayra_caliph_shield.png
Modular Engines,vayra_modular_engines,,,Kadur Holy Fleet,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_modular_engines,"The Caliph's gargantuan bulk is propelled by a pair of massive %s. If destroyed, the dreadnought's speed will be reduced by an amount %s.",,graphics/hullmods/augmented_engines.png
,,,,,,,,,,,,,,,,,,
# COMMISSIONED CREW HULLMOD,,,,,,,,,,,,,,,,,,
Devoted Martyrs,CHM_kadur,,,Kadur Theocracy,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_kadur,"The devoted crew of this ship know what it means to lose everything, and have steeled themselves to fight for their lives and Never. Let. Go. Reduces hull damage taken by %s when below %s Hull Integrity.",Remember Kadur. Remember... And FIGHT FOR YOUR LIFE.,graphics/hullmods/chm_kadur.png
,,,,,,,,,,,,,,,,,,
# HVB STUFF,,,,,,,,,,,,,,,,,,
Less Ill-Advised Modifications,vayra_less_ill_advised,,,,dmod,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraLessIllAdvised,"This hull's systems have been drastically modified from spec, likely without certified engineering oversight. Its systems appear to work correctly under routine conditions, but have a significant chance of malfunction when stressed. Despite the overall quality of the work, they appear to have been hardened against permanently disabling malfunctions.",,graphics/hullmods/illadvised.png
