name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TINITUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalyzed Chemical Torch,TADA_plasma,1,,900,500,,40,5,0,20,10,,,,HIGH_EXPLOSIVE,10,,0.25,0,9999,0.1,0,15,1,5,,500,,,10,1,,"SYSTEM, FIRE_WHEN_INEFFICIENT",he10,,,,Can Opener,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FORRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hailstorm,TADA_hailstorm,1,,2000,10000,,1000,,50,0,30,,,,HIGH_EXPLOSIVE,100,,0.5,17.5,9,0.25,0,0,0,0,,250,50,30,200,,,"SYSTEM, STRIKE, GUIDED_POOR, DO_NOT_CONSERVE","utility15, strike15, missile19",,,,Long Range Torpedo,Very Slow,Very Poor,,,,,,,,
Hammer Storm,TADA_hammerStorm,0,,1500,2750,,1500,,30,0,30,8,0.25,,HIGH_EXPLOSIVE,100,,0,3,8,0.25,0,0,0,0,,450,50,6,350,,,"SYSTEM, STRIKE, DO_NOT_CONSERVE","strike16, rocket15",,,,Torpedo Barrage,Fast,None,,,,,%s: Damage to this weapon can cause an ordnance cook-off.,Unarmored Magazines,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# WHIRLWIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TADA_whirlwindSystem,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# PINNACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Ion Beam,TADA_lightIonBeam,1,,700,600,50,,150,100,45,7,,,,ENERGY,,,0.1,0.1,,,,,,,2400,,,,,,,"SYSTEM,PD,FIRE_WHEN_INEFFICIENT",,,,,Suppression,,,,,"Hits on hull or armor periodically arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,
Graviton Bolter,TADA_gravitonBolterL,0,,500,600,,100,,50,15,8,,,,KINETIC,,,0,0.75,,,1,1,,,,2000,,,,,,SYSTEM,,,,,Anti-shield,,,,,,,,,,
Graviton Bolter,TADA_gravitonBolterR,0,,500,600,,100,,50,15,8,,,,KINETIC,,,0,0.75,,,1,1,,,,2000,,,,,,SYSTEM,,,,,Anti-shield,,,,,,,,,,
,TADA_pinnace_cover,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
,TADA_pinnace_leftWing,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
,TADA_pinnace_rightWing,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
,TADA_pinnace_leftGun,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
,TADA_pinnace_rightGun,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# LASHER TT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TADA_lasherTT_skirtL,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
,TADA_lasherTT_skirtR,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# OWL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flak Cannon,TADA_owlFlak,0,,1000,500,,200,,10,40,8,3,1,1,FRAGMENTATION,50,,0,0.3333,,,5,10,2,10,,700,,,30,,,"PD, SYSTEM","pd13, SR",,,,Point Defense,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FIRESPITTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Range Vulcan Cannon,TADA_LRvulcan,1,,200,500,,25,,1,75,4,,,,FRAGMENTATION,1,,0,0.075,1,,0,15,1,15,,1000,,,10,,,"PD,SYSTEM",pd7,,,,Point Defense,,,,,,,,,,1
Swarmer SRM Launcher,TADA_swarmer,1,,250,1000,,75,,15,50,4,60,,,HIGH_EXPLOSIVE,0,,0,5,4,0.2,0,0,0,0,,300,100,5,50,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE,SYSTEM","utility8, missile0",,,,Anti Small Craft,Fast,Excellent,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DECORATIVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TADA_Zvernier,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
