name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
prv_agni_prominence,prv_agni_prominence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prv_agni_d_cover_hatchling,prv_agni_d_cover_hatchling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
prv_agni_d_cover_juvenile,prv_agni_d_cover_juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
prv_agni_d_cover_buck_l,prv_agni_d_cover_buck_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
prv_agni_d_cover_buck_r,prv_agni_d_cover_buck_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
prv_agni_d_cover_doe_l,prv_agni_d_cover_doe_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
prv_agni_d_cover_doe_r,prv_agni_d_cover_doe_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prv_agni_d_fin_large,prv_agni_d_fin_large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
prv_agni_d_tail,prv_agni_d_tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIPD Laser,prv_sipdlaser,2,,350,500,40,,,0,100,4,,,,ENERGY,,70,0.1,0.10,,,,,,,2400,,,,,,,"PD, PD_ALSO, ANTI_FTR","prv_adv_bp, prv_hel_bp, pd7, energy7, beam9, merc",,prv Starworks,,Close Defense,,,,,"Bursts for %s energy damage after %s second of focusing on the target.

Will target missiles if no other targets are in range.",80 | 1,,,,8790
Fusion Burst Laser,prv_fusion_burster,1,0.5,450,500,530,,,0,7,6,,,,HIGH_EXPLOSIVE,,500,0.7,0.7,0.1,2.5,,,,,2000,,,,,,,STRIKE,"prv_rb_bp, strike0, he7, SR",,Rust Belt,,Anti Armor,,,,,,,,,,8701
Spattergun,prv_spattergun,1,,275,400,,60,,20,10,5,,,,ENERGY,60,,,1.85,4,0.05,3,15,3,8,,600,,,,,,,"prv_bp,  prv_stjarngard_bp, energy8",,prv Starworks,,General (Area),,,,,"%s clings to the target on hull hits, dealing an additional %s energy damage over time. 

Shield hits spread additional plasma particles which will hit any other target for %s to %s energy damage.",Spatterfire | 60 | 75 | 125,,,,8703
Spattergun Goop,prv_spattergun_1,0,,0,75,,125,,5,10,,,,,ENERGY,0,,,2,,,0,10,1,2,,200,,,,,,SYSTEM,,,,,Byproduct,,,,,,,,,,8703a
Spattergun Goop,prv_spattergun_2,0,,0,50,,75,,3,10,,,,,ENERGY,0,,,2,,,0,10,1,2,,100,,,,,,SYSTEM,,,,,Byproduct,,,,,,,,,,8703b
Heavy Spattergun,prv_heavyspattergun,3,0.65,2100,600,,120,,40,8,12,,,,ENERGY,120,,,4.15,8,0.05,2,10,2,8,,600,,,,,,,"prv_adv_bp, prv_stjarngard_bp, energy14, merc",,prv Starworks,,General (Area),,,,,"%s clings to the target on hull hits, dealing an additional %s energy damage over time. 

Shield hits spread additional plasma particles which will hit any other target for %s to %s energy damage.",Spatterfire | 120 | 75 | 125,,,,8703.1
Fräsare,prv_frasare,1,,1200,900,1681,,,40,34,13,,,,FRAGMENTATION,,1681,0.25,1.5,0.25,1.5,0,0,0,0,20000,,,,,,,ANTI_FTR,"prv_adv_bp, prv_hel_bp, beam13, kinetic9, LR, merc",,prv Starworks,,Finisher (Area),,,,,Generates %s anomalies which deal %s fragmentation damage to nearby targets.,27 | 60,,,,8785.5
Fräs,prv_frasare_1,0,,0,0,,60,,0,34,13,,,,FRAGMENTATION,30,,,0.2,,,0,0,0,0,,1000,,,,,,SYSTEM,,,prv Starworks,,Byproduct,,,,,,,,,,8785.51
Svepfräsare,prv_svepfrasare,2,0.5,4200,750,1690,,,40,34,20,,,,FRAGMENTATION,,1668,0.05,0.05,1.15,3.75,0,0,0,0,200000,,,,,,,FIRE_WHEN_INEFFICIENT,"prv_adv_bp, prv_hel_bp, beam17, kinetic13, merc",,prv Starworks,,General (Area),,,,,"Fires in a sweeping arc, generating %s anomalies which deal %s fragmentation damage to nearby targets.",numerous | 150,,,,8785.52
Fräs,prv_svepfrasare_1,0,,0,0,,150,,0,34,13,,,,FRAGMENTATION,50,,,0.3,,,0,0,0,0,,1000,,,,,,SYSTEM,,,prv Starworks,,Byproduct,,,,,,,,,,8785.53
Vakt Flicker Beam,prv_vakt,2,0.3,5000,600,350,,,0,90,18,,,,ENERGY,,350,0.1,0.1,,,,,,,200000,,,,,,,"PD, ANTI_FTR, NO_TURN_RATE_BOOST_WHEN_IDLE","prv_adv_bp, prv_hel_bp, pd15, beam13",,prv Starworks,,Point Defense,,,,,,,,,,8726
Belt Blaster,prv_belt_blaster,0,,2100,900,,600,,0,6,20,,,,ENERGY,900,,,5.1,4,0.3,0,0,0,0,,1000,,,,,,,"prv_rb_bp, energy15",,Rust Belt,,General,,,,,,,,,,8722125
Jursla Graviton Emitter,prv_jursla,3,0.3,5000,750,250,,,30,60,25,,,,KINETIC,,400,0.1,0.33,,,0,0,0,0,2000,,,,,,,NO_TURN_RATE_BOOST_WHEN_IDLE,"prv_adv_bp, prv_stjarngard_bp, kinetic20, energy16, LR, merc",,prv Starworks,,Anti Shield,,,,,"Generates %s particles per second while firing, each of which deals %s kinetic damage.

Gravitic effects slow and push target off-course. The effect is minor and is most noticeable vs fighters and missiles.",3 | 75,,,,8785.5
Jursla Blast,prv_jursla_1,3,,0,750,,75,,0,12,,,,,KINETIC,75,,,1,,,0,0,0,0,,700,,,,,,SYSTEM,,,prv Starworks,,Anti Shield,,,,,,,,,,8785.6
Ljungeld,prv_ljungeld,3,,5000,900,869.38,,,0,18,24,7,0.03666667,,HIGH_EXPLOSIVE,,1070,0.1,0.1,3.8,2,0,0,0,0,2000,,,,,,,"CONSERVE_2, USE_VS_FRIGATES, STRIKE","prv_adv_bp, prv_hel_bp, strike19, energy16, LR, merc",,prv Starworks,,Strike,,,,,"Hits on shields cause the beam to fracture, giving it a chance based on the target's hard flux level to pierce the shield with high explosive arcs of energy.",,,,,8786
Ljungeld (Damaged),prv_ljungeld_damaged,1,,0,900,434.69,,,0,18,,2,,,HIGH_EXPLOSIVE,,214,0.1,0.1,3.8,23,0,0,0,0,2000,,,,,,,"SYSTEM, CONSERVE_2, USE_VS_FRIGATES, STRIKE","strike17, energy14",,Rust Belt,,Strike,,,,,"Hits on shields cause the beam to fracture, giving it a chance based on the target's hard flux level to pierce the shield with high explosive arcs of energy. May backfire.",,,,,8786s
HFL Array,prv_hfl_array,1,,1800,650,,50,,0,21,16,,,,ENERGY,35,,0.3,0.3,14,0.05,0,14,0.5,8,,1000,,,,,,,"prv_rb_bp, energy16, SR",,Rust Belt,,General,,,,,,,,,,8787
HFL,prv_hfl_array_single,1,,900,650,,50,,0,14,,,,,ENERGY,35,,0.3,0.35,7,0.10,0,14,0.25,4,,1000,,,,,,SYSTEM,"energy10, SR",,Rust Belt,,General,,,,,,,,,,8787
UVIR Pulse Laser,prv_uvir,1,,3700,700,,200,,0,15,16,,,,ENERGY,220,,0.333333,,,,,,,,,1000,,,,,,,"prv_bp, prv_stjarngard_bp, energy18",,prv Starworks,,General,,,,,,,,,,8788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punktskydd,prv_pskd,1,,300,300,,75,,1,70,5,,,,FRAGMENTATION,10,,0,1.37,9,0.11,0,14,1.2,10,,800,,,10,,,PD,"prv_bp, prv_kratul_bp, pd7, SR",,prv Starworks,,Point Defense,,,,Good,,,,,,8711
AKC c67,prv_akc,2,,1000,500,,30,,2,36,10,54,9,27,KINETIC,20,,0,0.0555555,3,0.0555555,0,14,0.75,15,,600,,,10,,,PD,"prv_adv_bp, prv_kratul_bp, kinetic14, pd12, SR",,prv Starworks,,Point Defense,,,,,,,,,,87386
Light Thumper,prv_lightthumper,2,,250,700,,100,,1,35,3,,,,FRAGMENTATION,30,,0,3.1,10,0.10,0,9,2,10,,800,,,30,,,,"kinetic7, energy7, prv_rb_bp",,Rust Belt,,General,,,,,,,,,,873.8
Overdriven Thumper,prv_lightthumper_oc,3,,700,700,,100,,1,25,7,,,,FRAGMENTATION,30,,0,1.55,10,0.05,0,7,1.5,20,,800,,,30,,,,"kinetic9, energy9, rare_bp, merc",,Rust Belt,,General,,,,,,,,,,873.87
Light Triple Autocannon,prv_lighttripleac,2,,450,500,,50,,3,20,6,,,,KINETIC,40,,0,0.3,3,0.3,0,20,3,9,,800,,,20,,,,"kinetic8, prv_rb_bp",,Rust Belt,,Anti Shield,,,,,,,,,,8703
Light Akers,prv_akers,1,,400,425,,30,15,4,24,4,,,,KINETIC,18,,0,0.2333333333,2,0.1,0,7,0.6,10,,750,,,10,,,,"prv_bp, prv_kratul_bp, kinetic7, SR",,prv Starworks,,Anti Shield,,,,,"Shell hits on hull or armor have a %s chance to arc to weapons and engines, inflicting %s EMP damage.

The EMP arcs are less effective against fighters.",12.5% | 120,,,,8712
Akers Nova (Single),prv_akers_nova_fighter,3,,600,850,,60,60,6,24,7,,,,KINETIC,70,,0.075,0.5916666,,,0,5,0.5,10,,900,,,25,,,,"prv_lab_bp, kinetic12, LR",,prv Starworks,,Anti Shield,,,,,"Shell hits on hull or armor have a %s chance to arc to weapons and engines, inflicting %s EMP damage.

The EMP arcs are less effective against fighters.",25% | 240,,,,8714a
Heavy Akers,prv_heavyakers,1,,1200,675,,50,25,5,18,10,,,,KINETIC,45,,0,0.375,2,0.125,0,7,0.6,10,,750,,,20,,,,"prv_bp, prv_kratul_bp, kinetic14",,prv Starworks,,Anti Shield,,,,,"Shell hits on hull or armor have a %s chance to arc to weapons and engines, inflicting %s EMP damage.

The EMP arcs are less effective against fighters.",20% | 125,,,,8713
Akers Nova,prv_akers_nova,3,0.3,2300,850,,60,60,6,24,12,,,,KINETIC,70,,0.075,1.95,6,0.075,0,5,0.5,10,,900,,,25,,,,"prv_adv_bp, prv_hel_bp, kinetic15, LR, merc",,prv Starworks,,Anti Shield,,,,,"Shell hits on hull or armor have a %s chance to arc to weapons and engines, inflicting %s EMP damage.

The EMP arcs are less effective against fighters.",25% | 240,,,,8714
Akers Denova,prv_akers_denova,3,0.3,2700,750,,75,,6,12,14,700,,,KINETIC,125,,,0.25,,,0,5,0.5,10,,750,,,,,,,"prv_lab_bp, kinetic15, LR, hist1t, merc",,prv Starworks,,Anti Shield,,,,,Hits generate anomalies which deal up to %s fragmentation damage to nearby targets.,75,,,,8714.5
Fräs,prv_akers_denova_1,0,,0,0,,75,,6,12,,,,,FRAGMENTATION,125,,,0.25,,,0,5,0.5,10,,750,,,,,,SYSTEM,,,prv Starworks,,Anti Shield,,,,,,,,,,8714.51
Siege Akers,prv_siege_akers,1,,3500,750,,120,60,15,8,22,,,8,KINETIC,135,,,1.0333333333,4,0.1,0,7,0.6,10,,750,,,100,,,,"prv_adv_bp, prv_kratul_bp, kinetic18",,prv Starworks,,Anti Shield,,,,,"Shell hits on hull or armor have a %s chance to arc to weapons and engines, inflicting %s EMP damage spread over two locations. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.

The EMP arcs are less effective against fighters.",33% | 180,,,,8716
#Jursla,prv_jursla,3,0.3,5000,900,,400,,175,12,25,,,,KINETIC,520,,,2.17,2,0.33,0,5,0.33,1,,1200,,,200,,,,"prv_lab_bp, kinetic20, LR, rare_bp",,prv Starworks,,Anti Shield,,,,,,,,,,8786
Spatterflamer,prv_spatterflamer,1,,2500,600,,50,,25,27,24,120,8,60,ENERGY,50,,,0.05,5,0.05,1,1,0,0,,600,,,,,,"DO_NOT_CONSERVE, NO_TURN_RATE_BOOST_WHEN_IDLE","prv_rb_bp, energy18, he17, beam12, SR",,Rust Belt,,Anti Hull,,,,Poor,"%s clings to the target on hull hits, dealing an additional %s energy damage over time. 

Shield hits spread additional plasma particles which will hit any other target for %s to %s energy damage.",Spatterfire | 50 | 75 | 125,,,,8786.90
Gravkan,prv_gravkan,1,,900,500,,100,,4,40,10,,,,HIGH_EXPLOSIVE,70,,0.875,0.25,7,0.145833,0,24,2,12,,675,,,35,,,,"prv_bp, prv_kratul_bp, he15, SR, merc",,prv Starworks,,Anti Armor,,,,,Causes a %s gravitic ripple on impact.,minor,,,,8716.5
Gravpjäs,prv_heavygravkan,3,0.3,4750,900,,300,,32,12,21,,,,HIGH_EXPLOSIVE,375,,0.375,0.375,,,0,15,1.875,7.5,,675,,,200,,,ANTI_FTR,"prv_adv_bp, prv_kratul_bp, he19, LR",,prv Starworks,,Disruption (Area),,,,,Causes a %s gravitic ripple on impact.,major,,,,8716.75
Studsare,prv_bounder,2,,1200,850,,120,,12,9,9,,,,HIGH_EXPLOSIVE,120,,,0.66666666667,,,0,11,2,7,,900,,,70,,,,"prv_adv_bp, prv_hel_bp, he14, LR",,prv Starworks,,Anti Armor,,,,,"Shells will ricochet on shield hits, attempting to hit a nearby target.",,,,,8717
Automatstudsare,prv_heavybounder,2,,4000,750,,90,,8,7,22,,,,HIGH_EXPLOSIVE,90,,,0.9,13,0.075,0,13,0.33,4,,900,,,45,,,,"prv_adv_bp, prv_hel_bp, he19",,prv Starworks,,Anti Armor,,,,,"Shells will ricochet on shield hits, attempting to hit a nearby target.",,,,,8718
Automatstuds,prv_heavybounder_1,2,,0,750,,90,,8,7,,,,,HIGH_EXPLOSIVE,90,,,0.9,13,0.075,0,13,0.33,4,,900,,,45,,,SYSTEM,,,prv Starworks,,Anti Armor,,,,,,,,,,8718.1
Remission EMP Mortar,prv_remission,2,,1900,800,,150,,8,10,11,,,,HIGH_EXPLOSIVE,180,,,2.4,3,0.3,0,18,2,6,,450,,,30,,,,"prv_lp_bp, he12, utility14",,Luddic Church,,Suppression,,,,,"Causes up to %s energy weapons near the impact location to discharge. The discharges deal up to %s EMP damage, based on the size of the discharging weapon.",4 | 150,,,,8715.5
Remission Bounce,prv_remission_1,0,,0,30,,150,,8,10,,,,,HIGH_EXPLOSIVE,180,,,2.4,3,0.3,0,18,2,6,,30,,,30,,,SYSTEM,,,Luddic Church,,Suppression,,,,,"Causes up to %s energy weapons near the impact location to discharge. The discharges deal up to %s EMP damage, based on the size of the discharging weapon.",4 | 150,,,,8715.51
Kartesch,prv_kartesch,1,,1100,1000,,300,,50,8,14,,,,HIGH_EXPLOSIVE,540,,,3.2,,,0,10,5,2,,500,500,0.5,350,,,,"prv_rb_bp, he14, LR",,Rust Belt,,Anti Armor (Area),,None,Slow,Poor,,,,,,8778
Kartesch,prv_kartesch_1,1,,0,1000,,540,,50,12,,,,,HIGH_EXPLOSIVE,540,,,3.2,,,0,10,5,2,,500,500,0.5,200,,,SYSTEM,,,Rust Belt,,Anti Armor (Area),,,,,,,,,,8778.1
Bomblet,prv_kartesch_2,1,,0,450,,60,,2,12,,,,,HIGH_EXPLOSIVE,45,,,3.2,,,0,10,5,2,,500,500,0.5,20,,,SYSTEM,,,Rust Belt,,Anti Armor (Area),,,,,,,,,,8778.2
Punktskydd Cluster,prv_pskd_cluster,0,0.5,1800,700,,150,,2,30,16,,,,FRAGMENTATION,10,,,0.05,,,10,21,2,10,,800,,,10,,,"PD, PD_ALSO, NO_TURN_RATE_BOOST_WHEN_IDLE","prv_pirate_bp, pd12, he9",,Pirate,,Point Defense (Area),,,,Abysmal,"Shells have unreliable fuzes and are likely to explode at a random distance, resulting in a barrage that's increasingly more deadly at closer ranges.

Will target missiles if no other targets are in range.",,,,,8715
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atropos-class Torpedo Rack,prv_atropos_er,2,0.5,600,1200,,1000,,40,10,4,2,,,HIGH_EXPLOSIVE,0,,0,8,2,1,0,0,0,0,,400,150,6.5,300,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","strike9, missile1",,,,Torpedo,Fast,Good,,,,,,,TRUE,9.5
Svala-class Torpedo Launcher,prv_svala,3,0.33,900,1500,,1000,,30,10,4,3,,,ENERGY,0,,0.75,16,1,,0,0,0,0,,250,50,4,150,,,"DO_NOT_AIM, STRIKE","prv_adv_bp, prv_stjarngard_bp, strike9, missile1, merc",,prv Starworks,,Torpedo,Slow,Good,,,,,,,TRUE,8720
Svala Antimatter Blast,prv_svala_amblast,0,0,0,700,,225,,0,30,,,,,ENERGY,275,,0.25,10,,,0,0,0,,,650,,,35,,,"SYSTEM, STRIKE",strike1,,prv Starworks,,Submunition,,,,,,,,,,8720.1
Rörsångare-class Torpedo Rack,prv_rorsangare,3,0.33,2300,1500,,2000,,40,10,14,8,,,ENERGY,0,,0.75,8,,,0,0,0,,,250,50,5.25,450,,,"DO_NOT_AIM, STRIKE","prv_lab_bp, strike16, missile14, hist1t, merc",,prv Starworks,,Torpedo,Slow,Good,,,,,,,TRUE,8721.5
Linjär PK,prv_lpk,3,,750,750,,100,,0,21,8,12,1,3,ENERGY,50,,,0.2,3,0.2,0,17,2,4,,350,350,6,75,,,"DO_NOT_AIM, ANTI_FTR, DO_NOT_CONSERVE, MISSILE_SPREAD","prv_lab_bp, energy13, he7, SR",,prv Starworks,,General,,Excellent,,,Recharge rate increases by up to %s based on current flux level.,400%,,,,8785
Kaja MRM Launcher,prv_kaja,1,0.65,300,3000,,350,,15,30,5,1,0.1,,HIGH_EXPLOSIVE,175,,0,3,,,0,0,0,,,300,1000,10,140,,,GROUP_LINKED,"prv_bp, prv_stjarngard_bp, missile7, strike2",,prv Starworks,,Strike,Fast,Variable,,,,,,,,8721
Kaja MRM Array,prv_kaja_quint,2,0,1200,3000,,350,,15,30,,5,0.5,5,HIGH_EXPLOSIVE,175,,0,3,,,0,0,0,,,300,1000,10,140,,,"GROUP_LINKED, SYSTEM","missile17,strike8",,prv Starworks,,Strike,Fast,Variable,,,,,,,,8721s
Kråka MRM Launcher,prv_kraka,1,0.65,1200,3000,,450,,20,20,10,4,0.2,2,HIGH_EXPLOSIVE,225,,0,3,,,0,0,0,,,300,1000,10,175,,,GROUP_LINKED,"prv_bp, prv_stjarngard_bp, missile14, strike4",,prv Starworks,,Strike,Fast,Variable,,,,,,,,8722
Kråka MRM Autolauncher,prv_kraka_auto,3,0,5600,3000,,450,,20,10,,9,0.6,1,HIGH_EXPLOSIVE,225,,0,0.3333333,,,0,0,0,,,300,1000,10,175,,,"GROUP_LINKED, SYSTEM, SHOW_IN_CODEX","missile21, strike14",,prv Starworks,,Anti Armor,Fast,Variable,,,,,,,,8723a
Korp MRM Launcher,prv_korp,2,,3800,3000,,600,,25,10,20,9,0.3,3,HIGH_EXPLOSIVE,300,,0,3,,,0,0,0,,,300,1000,10,210,,,GROUP_LINKED,"prv_bp, prv_stjarngard_bp, missile17, strike8",,prv Starworks,,Strike,Fast,Variable,,,,,,,,8723
Annihilator Burst Launcher,prv_kraka_auto_burst,3,0,5600,1500,,200,,5,10,,320,,,HIGH_EXPLOSIVE,0,,0,6.05,40,0.05,3,10,1,,,400,50,3.75,50,,,"SYSTEM, CONSERVE_3, STRIKE","rocket21, strike14",,Pirate,,Anti Armor,Fast,Variable,,,,,,,,8723b
Skata LRM Launcher,prv_skata,3,0.5,3600,5000,,300,,15,3,18,135,,,ENERGY,,,,6.762,3,0.219,0,10,2,2,,1200,200,9,65,,,GUIDED_POOR,"prv_adv_bp, prv_kratul_bp, rocket18, strike4",,prv Starworks,,Pressure,Medium,Very Poor,,,,,,,,8724
Berguv Torpedo,prv_berguv_rack,2,,200,1200,,2000,,30,10,3,2,,,ENERGY,,,,1,,,0,0,0,0,,300,50,5,500,,,"STRIKE, USE_VS_FRIGATES","prv_adv_bp, prv_stjarngard_bp, strike8, rocket2",,prv Starworks,,Torpedo,Medium,None,,,"Will detonate when close to a target, causing %s %s energy burns on nearby ships.

The torpedoes are volatile and may detonate prematurely if damaged.",severe | spatterfire,,,TRUE,8724.65
Berguv Torpedo Launcher,prv_berguv,2,,4800,1200,,2000,,30,10,25,27,,,ENERGY,,,,16,3,0.33333,0,0,0,0,,300,50,5,500,,,"STRIKE, USE_VS_FRIGATES, CONSERVE_3","prv_adv_bp, prv_stjarngard_bp, strike16, rocket14",,prv Starworks,,Torpedo,Medium,None,,,"Will detonate when close to a target, causing %s %s energy burns on nearby ships.

The torpedoes are volatile and may detonate prematurely if damaged.",severe | spatterfire,,,TRUE,8724.5
Berguv MIRV Launcher,prv_berguv_mirv,3,,1900,1800,,1500,,30,20,12,7,,,ENERGY,,,,10,,,0,0,0,0,,300,150,6,500,,,"GUIDED_POOR, USE_VS_FRIGATES","prv_adv_bp, rare_bp, strike14, rocket7, hist1t, merc",,prv Starworks,,Finisher,Medium,Medium,,,"Submunitions will detonate when close to a target, causing %s %s energy burns on nearby ships.

The submunitions are volatile and may detonate prematurely if damaged.",moderate | spatterfire,,,TRUE,8724.6
Brytare Rocket Launcher,prv_brytare_rack,1,,600,1500,,250,,15,20,4,12,,,HIGH_EXPLOSIVE,0,,0,0.375,,,0,0,0,0,,450,-225,6.5,300,,,"STRIKE, MISSILE_SPREAD, CONSERVE_ALL","prv_rb_bp, rocket7, strike_3",,Rust Belt,,Anti Armor,Fast,Special,,,Unguided after a brief initial aiming stage.,,,,,8724.65
Brytare Rocket Pod,prv_brytare_pod,2,,1000,1500,,250,,15,20,8,42,,,HIGH_EXPLOSIVE,0,,0,5.375,6,0.125,0,0,0,0,,450,-225,6.5,300,,,"STRIKE, MISSILE_SPREAD","prv_rb_bp, rocket10, strike_10",,Rust Belt,,Anti Armor,Fast,Special,,,Unguided after a brief initial aiming stage.,,,,,8724.75
Minehead Cluster Rocket,prv_minehead,2,,4200,3000,,400,,50,24,23,12,,,HIGH_EXPLOSIVE,0,,0,8,,,0,0,0,0,0,300,50,9,500,,,,"prv_rb_bp, strike16, rocket19",,Rust Belt,,Strike,Medium,None,,,Leaves a trail of inertia-guided bomblets.,300,,,TRUE,8727
Minehead Bomblet,prv_minehead_1,0,,0,2000,,300,,15,15,,12,,,HIGH_EXPLOSIVE,0,,0,2,5,0.1,0,0,0,0,0,20,20,60,125,,,"STRIKE,SYSTEM",,,Rust Belt,,Submunition,,,,,,,,,TRUE,8727.4
Sidensvans SRM Launcher,prv_sidensvans,1,,350,1000,,250,,16,30,6,28,,,HIGH_EXPLOSIVE,0,,0,10.68,4,0.44,0,0,0,0,,575,100,3.5,85,,,"DO_NOT_AIM, CONSERVE_3, MISSILE_SPREAD","prv_bp, prv_kratul_bp, rocket7, strike5, merc",,prv Starworks,,Anti Armor,Fast,Good,,,Unguided after a brief initial aiming stage. Near-misses or damaged missiles will split into %s homing submunitions dealing %s explosive damage each.,3 | 80,,,TRUE,16.3
