name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Xyloc,bee_xyloc,Light Destroyer,Apocrita Association,maneuveringjets,9,3500,250,5000,,400,70,,90,120,95,45,45,300,FRONT,,220,0.25,0.8,,,50,60,80,40,2,25,9,32000,5,15,350,0.25,9,9,,,,,,,,apocrita_ship_bp,1,0.4,2,3,,302
Sceliphron,bee_sceliphron,Destroyer,Apocrita Association,ammofeed,10,5000,400,6000,,500,100,,80,100,75,40,40,400,FRONT,,280,0.25,0.8,,,60,80,90,50,2,25,9,43000,5,15,320,0.25,12,12,,,,,,,,apocrita_ship_bp,1,0.4,2,4,,301
Ceraphron,bee_ceraphron,Destroyer,Apocrita Association,damper,10,5000,800,4000,,350,80,,70,60,50,35,35,550,FRONT,,220,0.25,0.8,,,50,70,75,40,2,25,9,35000,5,15,350,0.25,11,11,,,,,,,,apocrita_ship_bp,1,0.3,2,3,,303
Ceraphron (P),bee_ceraphron_p,Destroyer,Apocrita Association,burndrive,10,5000,830,3800,,350,80,,70,55,50,35,35,560,FRONT,,200,0.35,1,,,50,70,75,40,2,25,9,32000,5,15,350,0.25,11,11,,,,,,,,pirate_bp,1,0.3,2,3,,303
Mutill,bee_mutill,Heavy Destroyer,Apocrita Association,fortressshield,12,6000,600,8000,,600,100,,60,50,30,30,30,650,FRONT,,240,0.25,0.8,,,90,120,110,50,2,25,9,80000,5,15,380,0.25,15,15,,,,,,,,rare_bp,0.5,0.3,2,4,,304
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespul,bee_vespul,Cruiser,Apocrita Association,maneuveringjets,14,7500,900,9000,,500,130,,70,60,40,30,30,750,FRONT,,220,0.25,0.8,,,110,240,100,70,3,35,8,100000,4,15,480,0.25,19,19,,,,,,,,apocrita_ship_bp,1,0.4,2,4,,401
Polistes,bee_polistes,Cruiser,Apocrita Association,fluxrecycling,15,8000,900,9500,,700,160,,60,40,30,30,30,1000,FRONT,,240,0.25,0.8,,,200,250,225,120,3,35,8,110000,4,15,480,0.25,22,22,,,,,,,,apocrita_ship_bp,1,0.4,3,4,,402
Polistes (E),bee_polistes_e,Cruiser,Apocrita Association,fluxrecycling,15,8000,880,9500,,700,170,,60,40,30,25,25,1000,FRONT,,220,0.35,0.8,,,200,250,225,120,3,35,8,105000,4,15,480,0.25,22,22,,,,,,,,rare_bp,1,0.4,3,4,,402
Cteno,bee_cteno,Cruiser,Apocrita Association,interdictor,16,11000,1200,10000,,750,150,,50,35,25,25,25,1800,FRONT,,240,0.25,0.8,,,250,350,250,200,3,35,8,130000,5,15,480,0.25,25,25,,,,,,,,rare_bp,1,0.3,3,4,,403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mound,bee_mound,Carrier,Apocrita Association,droneforge,26,16000,1450,12000,,500,200,6,25,15,15,5,5,3000,FRONT,,200,0.25,0.8,,,800,1200,350,300,15,20,7,350000,3,15,720,0.25,40,40,,,,,,,"CARRIER, NO_AUTO_ESCORT",rare_bp,1,0.4,2,4,,501
Urocerus,bee_urocerus,Fast Battleship,Apocrita Association,microburn,28,13500,1200,20000,,1200,280,,35,25,15,8,6,2750,FRONT,,250,0.25,0.7,,,500,700,300,300,10,30,7,400000,3,15,720,0.25,45,45,,,,,,,,rare_bp,0.75,0.4,2,4,,502
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalice,bee_chalice,Fast Battleship,High Tech,enhancedmicroburn,29,12000,1100,22000,,1200,280,,30,30,20,9,7,2700,FRONT,,280,0.4,0.6,,,550,700,250,250,10,30,7,600000,3,15,720,0.25,50,50,,,,,,,HIDE_IN_CODEX,no_bp,0.75,0.4,2,4,,502
Belcher,bee_belcher,Cruiser,Pirate,belch,16,11000,1350,10000,,550,140,,50,30,25,20,20,1700,OMNI,,140,0.35,1,,,230,300,150,300,4,35,8,140000,6,16,480,0.25,24,24,,,,,,,HIDE_IN_CODEX,no_bp,0.75,0.4,2,3,,404
