id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
prv_svala_torpedo,projectile,125,0.4,0.2,"[150,100,255]",3,650,1,1.25,"[150,100,255]",250,0.8,0.5,"[155,100,255]",,1,FALSE
prv_svala_warhead,projectile,75,0.2,0.3,"[150,100,255]",2,125,0.7,1,"[150,100,255]",125,0.56,0.4,"[155,100,255]",,1,FALSE
prv_svala_amblast,projectile,100,0.6,0.3,"[150,100,255]",,100,0.8,1,"[150,100,255]",100,0.56,0.4,"[155,100,255]",,1,FALSE
prv_berguv_torpedo,projectile,125,0.5,0.75,"[199,102,255]",10,450,0.6,1.25,"[199,102,255]",,,,,,1,FALSE
prv_blames_missile,projectile,90,0.3,0.75,"[51,0,153]",5,200,0.45,1,"[51,0,153]",100,0.2,0.25,"[51,0,153]",,1,FALSE
prv_brytare_srm,projectile,100,0.25,0.5,"[255,120,60]",6,200,0.2,1,"[255,120,60]",,,,,,1,FALSE
,,,,,,,,,,,,,,,,,
prv_mine_emp,projectile,125,0.3,0.3,"[125,215,255]",,200,0.6,1.5,"[125,215,255]",,,,,,1,TRUE
prv_mine_gravity,projectile,250,0.5,0.3,"[255,85,0,255]",,400,0.85,0.75,"[255,85,0,255]",,,,,,1,TRUE
,,,,,¨,,,,,,,,,,,,
