name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Hazard MRM,roider_hazard_mrm_bomber,4,,0,2000,,250,,15,30,0,4,,,HIGH_EXPLOSIVE,0,,0,8,4,0.25,0,0,0,0,,400,200,7.5,75,,,"STRIKE, SYSTEM, GUIDED_POOR",,,,,Close Support,Medium,Medium,,,,,,,,106
Zap SRM Launcher,roider_zap_fighter,4,,0,1000,,60,70,0,50,0,,,,FRAGMENTATION,0,,0,3,2,0.1,0,0,0,0,,400,150,4,50,,,"ANTI_FTR, DO_NOT_AIM, SYSTEM,DO_NOT_CONSERVE",,,,,Anti Fighter,Fast,Excellent,,,Each missile fires an electric arc at up to %s range when a target passes in front of it. Fighters take an extra %s EMP damage.,500 | 280,,,,108
Mini Vulcan Cannon,roider_mini_vulcan,0,,0,250,,25,,1,75,2,,,,FRAGMENTATION,1,,0,1.05,20,0.05,0,15,1,15,,800,,,10,,,"SYSTEM,PD","pd5, SR",,,,Point Defense,,,,,,,This weapon is built-in only.,,,109
Annihilator Rocket Pod,roider_annihilatorpod,0,,0,1500,,200,,5,30,10,,,,HIGH_EXPLOSIVE,0,,0,1.8,2,0.2,0,0,0,0,,400,50,3.75,50,,,SYSTEM,,,,,Pressure,Fast,None,,,,,,,,110
Mini Sharpshooter,roider_marksman_mini,0,,0,700,,50,,10,75,4,2,0.5,1,FRAGMENTATION,25,,0,0.5,1,,0,0,0,10,,1000,,,100,,,"SYSTEM, PD, ANTI_FTR",,,,,Point Defense,,,,,,,,,,111
Hammer-class Torpedo (Single),roider_hammer_armature,0,,75,1200,,1500,,30,10,1,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,500,40,4,350,,,"STRIKE, SYSTEM",,,,,Torpedo,Fast,None,,,,,,,TRUE,9.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arc Blaster spread,roider_arcblastershot_clone,0,,0,500,,70,70,0,20,10,,,,ENERGY,120,,0,2.5,1,0.1,0,0,0,10,,4000,,,10000,,,SYSTEM,,,,,,,,,,,,,,,201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roider_sheriff_glow,roider_sheriff_glow,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,Roider Union,,,,,,,,,This weapon is built-in only.,,TRUE,30001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roider_firestorm_mask,roider_firestorm_mask,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,Roider Union,,,,,,,,,This weapon is built-in only.,,TRUE,30901
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roider_jane_mask_fl,roider_jane_mask_fl,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,Roider Union,,,,,,,,,This weapon is built-in only.,,TRUE,31001
roider_jane_mask_fr,roider_jane_mask_fr,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,Roider Union,,,,,,,,,This weapon is built-in only.,,TRUE,31002
roider_jane_mask_rl,roider_jane_mask_rl,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,Roider Union,,,,,,,,,This weapon is built-in only.,,TRUE,31003
roider_jane_mask_rr,roider_jane_mask_rr,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,Roider Union,,,,,,,,,This weapon is built-in only.,,TRUE,31004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roider_wrecker_glow1,roider_wrecker_glow1,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,Roider Union,,,,,,,,,This weapon is built-in only.,,TRUE,30001
roider_wrecker_glow2,roider_wrecker_glow2,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,Roider Union,,,,,,,,,This weapon is built-in only.,,TRUE,30001
