id,trigger,conditions,script,text,options,notes
relLevelCooperativeOcua,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == ocua",,"You are respected no less different to every kin sister in the armada, offering you directions and advices on every turn. While the Arc Mother cannot simply replace her daughter clones, she would certainly allow your retirement in the armada if so desired.",,
relLevelSuspiciousOcua,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == ocua",,"Your existence is suspicious in the obviousness of things, as the Oculians see you as a possible threat that would otherwise be nuisance to their very being.",,
relLevelInhospitableOcua,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == ocua",,"Numerical chatters are heard through the intercomms as you approach Oculian space, the sounding is erratic and very grating to listen, as some ships overhead come at you with a silent glare.",,
relLevelHostileOcua,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == ocua",,"You are no longer welcomed in Oculian space with a commercial greeting or a casual nod, but rather at gunpoint. Oculian sisters know of your name and would gladly hunt you down if you and your forces enter their space.",,
relLevelVengefulOcua,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == ocua",,Even the Arc Mother herself has brought her attention to you and would gladly pin the image of your face to any privateer hub to find you.,,
,,,,,,
# portside bar stuff,,,,,,
bar_descOcua,BarPrintDesc,$faction.id == ocua,ShowImageVisual ouca_space_bar,"As you enter the bar-  cafe, wisps of flowery aroma begiles you as assortments of steaming tea and coffee are being served to the locals. An Oculian sister swiftly greets you with a professional bow and as she offers you a table to the establishment. Localized Oculian advertising are displayed bizzarely with fruitful, optimistic images of people showcasing bakery products, while grunting noises of pirates and privateers are overheard from afar which is, at the very least, a comforting sign of humanity having a fair time.",,
,,,,,,
# Oculian fleet greeting lines,,,,,,
greetingOcuaFriendly,OpenCommLink,"$faction.id == ocua
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Digital identification confirmed. Welcome back to our sensory, kith.""
OR
""I don't think we'll meet each other often like this, but... care to buy off some of our goods? Just kidding.""
OR
""Greetings fellow sister, axuiliary or some backwater pirate who just helped us clear up some space in Hybrasil. Identity has been confirmed, by the way.""
OR
""Good morning/afternoon/evening, sir/madam. May we assist you walk across the street lightyears away?"" a faint laughter is heard.
OR
""Hello friend. I'd like to add you to my totally not a blacklist of people that we blocked from the Persean TriLink.""",,
greetingOcuaHostileWeaker,OpenCommLink,"$faction.id == ocua
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""Attention, very large, hostile entity. If you kindly move your fleet out of our way, it would be appreciated. Or else we'll tell mom on you.""
OR
""Um, hello hostile entity. Please refrain from interfering with our standard protocols. A kind gesture will be appreciated.""",cutCommLink:Cut the comm link,
greetingOcuaHostileWeakerDefiant,OpenCommLink,"$faction.id == ocua
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"The Oculian $personRank appears to be determined. ""Observation is in effect. Interfere with our procedures and we will respond."" $heOrShe says.",cutCommLink:Cut the comm link,
greetingOcuaHostileStronger,OpenCommLink,"$faction.id == ocua
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"""Greetings, hostile entity. You are within restricted Oculian space. Disperse immediately from this sector, above the burn capacity of 12 units or be pursued successfully and be destroyed.""
OR
""Your energy signatures appear to be above the nominal detection limit. Disperse from this sector or be recycled accordingly.""
OR
""Attention, hostile entity. You have attained the minimum requirements to become a threat to our protocol. Disperse or be recycled.""
OR
""Hostile entity. It appears your $shipOrFleet have intentionally entered our interaction sphere. Disperse or engage at your own risk.""",cutCommLink:Cut the comm link,
greetingOcuaNeutral,OpenCommLink,"$faction.id == ocua
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""We have been interacted. Fair travels, entity.""
OR
""Greetings, entity. It appears your $shipOrFleet have intentionally entered our interaction sphere. Do you wish to speak to us or engage our units with a subsequent flat reduction to your relationship score.""
OR
""Good morning/afternoon/evening, sir/madam. Please refrain from interfering with our duties. Thank you.""",,
