id,trigger,conditions,script,text,options,notes
kocchopOfferingAlreadyMade,DialogOptionSelected,"$option == kocchopMakeOffering
$KoCofferingMade score:100",,It's too late for second thoughts and it's clear it will take time to process the volunteers you have supplied before they're willing to accept more.,,
kocchopOfferingEnough,DialogOptionSelected,"$option == kocchopMakeOffering
$player.crew >= 10","SetTextHighlightColors buttonShortcut
SetTextHighlights 10","You inquire about the prospects of volunteering some of your crew for storage.

The muscled man smiles gleefully ""Of course you can mate, you and your are always welcome, we'll even wave the paper work and fees. Just be sure to say your final goodbyes, we can't be unfreezing people willy nilly, scrambles the brain you see.""","0:kocchopGiveOffering:Volunteer 10 crewmen
1:kocchopCancelOffering:Never mind",
kocchopOfferingNotEnough,DialogOptionSelected,"$option == kocchopMakeOffering
$player.crew < 10","SetTextHighlightColors buttonShortcut
SetTextHighlights 10","You inquire about the prospects of volunteering some of your crew for storage.

The muscled man laughs heartilly, ""I like you! As much as I'd love to process them I think you'll need those guys to get home, I'm sure if you toured the local bars you'll find a few volunteers in their stead?""",,
kocchopGiveOffering,DialogOptionSelected,$option == kocchopGiveOffering,"AddText ""The boss man accepts your volunteers with a sinister smile as they're led away into the stations darkness.""
AddRemoveCommodity crew -10 true
NGCAddShip google_defender_Standard
AdjustRep pirates SHRINE_OFFERING
$KoCofferingMade = true 60
FireBest kocchopMainOptions",,,
kocchopCancelOffering,DialogOptionSelected,$option == kocchopCancelOffering,FireBest kocchopMainOptions,,,
,,,,,,
,,,,,,
#tell me more tell me more,,,,,,
KoC_politics_ask,PopulateOptions,$id == ibrahim,FireAll KoC_politics,,"0:KoC_Politics_Overview:Ask about the Arcadia System
",
#like does he drive a car,,,,,,
KoC_Politics_Overview,DialogOptionSelected,$option == KoC_Politics_Overview,,"""Arcadia is a melting pot of ideologies. On one side you have the Hegemony, the ‘rightful’ rulers of the system. On the other you have the Ko Combine who purchased Argeus from the Hegemony and only hang on to their independence because of a ‘self-defense’ arms deal they struck with the Persean League. There’s also Mbaye-Gogol on Nomios, most of what we hear is rumours but it’s clear they’ve been making deals with Tri-Tachyon and the Sindarian Diktat.""","12:KoC_Politics_KoC:Ask about the Ko Combine
13:KoC_Politics_MbG:Ask about Mbaye-Gogol
13:KoC_Politics_ErU:Ask about Eridani-Utopia
20:KoC_Politics_Nevermind:Nevermind.",
#did she put up a fight,,,,,,
KoC_Politics_KoC,DialogOptionSelected,$option == KoC_Politics_KoC,FireAll KoC_politics,"""The Ko Combine seek complete independence, officially they act as diplomats for the Hegemony but it’s rather suspicious how many of those who resist the Hegemony seem to have an ample supply of Persean made arms following a visit. If they’re playing both sides of the conflict they’re playing with fire. One wrong move and the Hegemony will use that Star-Fortress of theirs for something more than just territorial defence.""",,
KoC_Politics_MbG,DialogOptionSelected,$option == KoC_Politics_MbG,FireAll KoC_politics,"""Mbaye pay their indentured servants next to nothing in order to keep costs down and extend their contracts. While most workers act diligently in order to avoid being transferred to the frozen mines of Nomios there have been occasions of runaway servants. They’re known to supply the Sindrian Diktat with slaves and organs for Andrada’s ‘personal use’ and supposedly they have a cryopod reserved with his name on it.""",,
KoC_Politics_ErU,DialogOptionSelected,$option == KoC_Politics_ErU,FireAll KoC_politics,"""They were the Chosen Ones! It was said they would destroy the Luddics, not join them! Bring prosperity to the Sector, not leave it in ruins! They were our brothers… we loved them...""",,
#wtf dude!,,,,,,
KoC_Politics_Nevermind,DialogOptionSelected,$option == KoC_Politics_Nevermind,FireAll PopulateOptions,,,
