name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Battleaxe,vayra_battleaxe,,Low Tech,vayra_foreverflares,,1000,200,300,,50,,,150,150,150,90,240,50,NONE,,,,,,,4,4,,,,,,,,,,,,,,,,,,,
Caliban,vayra_caliban,,High Tech,flarelauncher_fighter,,400,50,400,,40,,,180,360,300,90,180,35,FRONT,,360,0,1,,,1,1,,,,,,,,,,,,,,,,,,,
Bailey,vayra_bailey,,Explorarium,flarelauncher_fighter,,800,150,100,,10,,,125,100,75,50,100,60,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Castellum,vayra_castellum,,Explorarium,,,650,150,100,,10,,,100,100,75,50,100,45,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Ditch,vayra_ditch,,Explorarium,flarelauncher_single,,400,100,100,,10,,,180,300,225,100,200,30,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azores,antediluvian_azores,Frigate,Antediluvian,vayra_strikefeed,5,1800,300,1250,,125,45,,185,200,100,90,120,180,NONE,,,,,,,5,20,30,40,1,,10,11000,5,10,240,0.25,4,4,HIDE_IN_CODEX,"antediluvian, no_bp_drop",,0.4,2,2,
Forlorn,antediluvian_forlorn,Heavy Frigate,Antediluvian,ammofeed,10,2250,400,1800,,150,55,,120,180,90,90,120,250,PHASE,antediluvian_submerge,,,,0.01,0.1,10,25,40,50,1,,10,36000,10,20,180,0.25,8,8,"PHASE, HIDE_IN_CODEX","antediluvian, no_bp_drop",,0.4,2,2,
Greyhound,vayra_greyhound,Frigate,Low Tech,ammofeed,4,2000,400,1250,,125,42,,180,175,100,90,120,220,NONE,,,,,,,10,40,35,30,1,,10,8500,5,10,240,0.25,3,3,,"lowtech_bp, pirate_bp, revolutionary",,0.4,2,2,
Blood Dog,vayra_blood_dog,Tramp Freighter,Pirate,ammofeed,5,2200,450,1500,,200,50,,175,175,100,90,120,200,FRONT,,120,0.4,1,,,12,24,100,45,1,,10,20000,10,10,240,0.25,5,5,HIDE_IN_CODEX,,,0.1,2,2,
Rock Hound,vayra_mining_hound,Utility Frigate,Low Tech,vayra_foreverflares,3,2000,300,1800,,150,33,,160,150,80,90,120,200,NONE,,,,,,,10,40,75,30,1,,10,8000,5,10,240,0.25,3,3,,"base_bp, mercantile",,0.4,2,2,
Hail,vayra_hail,Light Pinnace,High Tech,temporalshell,3,750,125,1750,,100,35,,195,250,200,180,360,100,FRONT,,90,0.2,0.6,,,3,15,10,10,1,,11,17500,10,20,180,0.25,3,3,,"rare_bp, tritachyon",0.75,0.6,2,2,
Razorback,vayra_razorback,Heavy Gunship,Low Tech,vayra_strikefeed,3,2000,600,2500,,200,50,,95,90,70,40,70,300,NONE,,,,,,,20,40,60,20,1,,9,15000,8,10,300,0.25,4,4,,pirate_bp,,0.3,2,2,
Bruiser,vayra_bruiser,Heavy Frigate,Low Tech,vayra_foreverflares,5,2250,450,2500,,200,55,,85,100,80,50,80,350,FRONT,,180,0.4,1,,,35,70,50,20,1,,9,15000,8,10,300,0.25,5,5,,lowtech_bp,,0.4,2,2,
Hatchetman,vayra_hatchetman,Cutter,Low Tech,vayra_microburn,5,1500,300,2100,,120,50,,160,200,150,90,120,200,FRONT,,150,0.4,1.2,,,15,30,30,30,1,,10,10000,8,10,240,0.25,5,5,,lowtech_bp,,0.5,2,2,
Kingfisher,vayra_kingfisher,Combat Shuttle,Midline,maneuveringjets,4,1250,250,2100,,80,35,,135,180,120,60,120,200,OMNI,,150,0.4,0.8,,,10,50,50,20,1,,10,6000,8,10,240,0.25,3,3,,midline_bp,,0.3,2,2,
Swordsman,vayra_swordsman,Frigate,Midline,vayra_strikefeed,5,1500,250,2200,,175,50,,130,130,110,60,120,250,FRONT,,270,0.4,0.8,,,20,40,40,25,1,,10,15000,8,10,240,0.25,5,5,,midline_bp,,0.4,2,2,
Spade,vayra_spade,Light Rig,Midline,flarelauncher_fighter,1,800,150,500,,50,22,,120,100,75,60,120,100,NONE,,,,,,,2,5,30,10,0.5,,9,1500,5,20,180,0.25,1,1,,"rare_bp, kadur_mining_bp, pirates, independent, scavengers, mercantile",,0.75,2,2,
Groundhog,vayra_groundhog,Heavy Frigate,Midline,maneuveringjets,6,2500,500,2000,,150,45,,140,240,120,60,120,350,FRONT,,150,0.4,1,,,30,60,100,20,1,,9,22000,8,10,300,0.25,5,5,,"rare_bp, kadur_mining_bp, pirates, independent, scavengers, mercantile",,0.2,2,2,
Pinnacle,vayra_pinnacle,Heavy Frigate,High Tech,highenergyfocus,7,2000,300,2500,,300,55,,110,100,80,50,100,300,OMNI,,180,0.6,0.6,,,30,60,30,20,1,,9,50000,10,20,240,0.25,6,6,,hightech_bp,,0.5,2,2,
Ruin,vayra_ruin,Heavy Frigate,High Tech,vayra_fragmine,8,2000,250,2000,,150,60,,130,120,100,60,120,300,OMNI,,180,0.4,0.8,,,5,20,25,50,1,,10,40000,10,20,240,0.25,8,8,,"rare_bp, tritachyon, persean, independent, science",,0.5,2,2,
Tower,vayra_tower,Drone,Explorarium,ammofeed,4,1500,500,750,,100,40,,150,200,125,90,120,200,NONE,,0,0,0,,,0,0,20,20,1,,9,10000,5,5,480,0.25,5,5,"UNBOARDABLE, HIDE_IN_CODEX",derelict,,0.5,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntress,vayra_huntress,Light Destroyer,Midline,maneuveringjets,9,4000,350,4200,,250,90,,120,100,80,35,80,350,FRONT,,300,0.4,0.8,,,40,80,50,60,2,,10,30000,5,12,300,0.25,8,8,,midline_bp,,0.5,2,3,
Persecutor,vayra_persecutor,Destroyer,Low Tech,ammofeed,10,5500,600,4000,,200,90,,105,60,40,30,40,500,FRONT,,270,0.4,1.2,,,60,120,100,90,3,,9,50000,5,12,360,0.25,10,10,,"rare_bp, luddic_church, hegemony, sindrian_diktat",,0.3,2,3,
Intimidator,vayra_intimidator,Destroyer,Low Tech,reservewing,10,4500,600,3500,,200,80,1,70,50,30,30,40,400,FRONT,,270,0.4,1.2,,,75,125,70,90,3,,9,46000,5,12,360,0.25,10,10,,"lowtech_bp, luddic_path",,0.3,2,3,
Tarsus Ultra,vayra_tarsus_ii,Destroyer,Low Tech,maneuveringjets,8,4250,400,3600,,250,80,,45,35,25,25,15,600,OMNI,,120,0.66,1.2,,,40,80,100,80,2,,8,26000,5,20,420,0.25,7,7,,"rare_bp, pirates",0.5,0.5,2,3,
Henchman,vayra_henchman,Troopship,Midline,flarelauncher_active,8,4000,450,2500,,150,60,,40,60,60,30,45,400,OMNI,,150,0.4,0.8,,,10,200,50,80,2,,9,25000,5,15,360,0.25,4,4,TRANSPORT,midline_bp,,0.5,2,3,
Dire Wolf,vayra_direwolf,Destroyer,High Tech,displacer,10,3000,300,5500,,300,100,,115,95,60,40,100,400,FRONT,,150,0.4,0.8,,,30,60,100,40,2,,9,45000,5,20,300,0.25,10,10,,hightech_bp,,0.5,2,3,
Badger,vayra_heavy_drone_tender,Heavy Tender,Midline,vayra_foreverflares,9,4500,400,3000,,150,60,3,40,20,10,10,10,600,OMNI,,120,0.5,1,,,60,160,300,90,2,,8,35000,5,10,360,0.25,8,8,"CARRIER, COMBAT, FREIGHTER","rare_bp, kadur_mining_bp, pirates, independent, scavengers, mercantile",,0.2,2,3,
Badger Mk.II,vayra_badger_p,Destroyer,Pirate,vayra_foreverflares,9,4500,400,3000,,150,60,2,60,30,15,10,10,600,OMNI,,120,0.5,1,,,60,160,150,90,2,,8,35000,5,10,300,0.25,8,8,FREIGHTER,"rare_bp, pirates",,0.5,2,3,
Exemplar,vayra_exemplar,Heavy Destroyer,High Tech,vayra_exemplardrones,12,4000,450,6000,,400,95,,80,75,50,30,50,500,OMNI,,180,0.3,0.8,,,50,75,60,50,2,,9,80000,5,20,360,0.25,14,14,,hightech_bp,,0.5,2,3,
Seer,vayra_seer,Support Carrier,High Tech,recalldevice,12,2800,275,4000,,250,75,2,60,60,40,30,60,350,OMNI,,120,0.3,0.7,,,60,120,40,40,2,,9,65000,5,20,300,0.25,16,16,CARRIER,hightech_bp,,0.7,2,3,
Prospector,vayra_prospector,Exploration Vessel,Midline,targetingfeed,10,4000,350,3500,,175,80,2,75,40,20,25,20,500,OMNI,,120,0.4,1,,,50,150,250,200,2,,8,40000,5,10,300,0.25,8,8,FREIGHTER,"rare_bp, kadur_mining_bp, pirates, independent, scavengers, mercantile, science",,0.4,2,3,
Palisade,vayra_redoubt,Drone,Explorarium,maneuveringjets,8,4500,600,4000,,300,110,,90,75,50,20,20,500,NONE,,0,0,0,,,0,0,80,40,2,,8,40000,5,10,420,0.25,10,10,"UNBOARDABLE, HIDE_IN_CODEX",derelict,,0.5,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motte,vayra_motte,Drone,Explorarium,reservewing,10,8000,900,6500,,300,115,3,45,30,15,15,10,1900,NONE,,0,0,0,,,0,0,100,60,4,,8,150000,5,12,600,0.25,22,22,"UNBOARDABLE, HIDE_IN_CODEX",derelict,,0.5,2,4,
Battlement,vayra_battlement,Drone,Explorarium,fastmissileracks,10,10000,1100,8000,,400,140,,50,30,15,15,10,2000,NONE,,0,0,0,,,0,0,100,60,4,,8,160000,5,12,600,0.25,24,24,"UNBOARDABLE, HIDE_IN_CODEX",derelict,,0.5,2,4,
Fortress,vayra_fortress,Drone,Explorarium,highenergyfocus,16,12500,1500,10000,,650,200,,30,20,10,6,3,2500,NONE,,,,,,,0,0,200,75,5,,7,180000,5,12,600,0.25,30,30,"UNBOARDABLE, HIDE_IN_CODEX",derelict,,0.5,2,4,
Subjugator,vayra_subjugator,Fast Cruiser,Low Tech,vayra_microburn,12,7500,850,7500,,300,130,,60,60,30,20,20,1000,FRONT,,120,0.4,1.2,,,100,150,100,90,3,,9,85000,4,12,480,0.25,17,17,,lowtech_bp,,0.5,2,3,
Oppressor,vayra_oppressor,Cruiser,Low Tech,maneuveringjets,14,9000,1250,8500,,425,150,2,40,40,20,16,16,1750,OMNI,,150,0.4,1,,,200,300,125,120,4,,8,125000,4,12,480,0.25,20,20,,lowtech_bp,,0.4,2,4,
Typhon,vayra_typhon,Heavy Cruiser,High Tech,drone_sensor,18,9500,1000,14000,,900,180,,45,45,25,20,25,2400,OMNI,,210,0.6,0.6,,,100,250,150,120,4,,8,250000,4,20,480,0.25,32,32,,"rare_bp, tritachyon",,0.6,2,4,
Clairvoyant,vayra_clairvoyant,Combat Carrier,High Tech,vayra_screeningformation,16,6000,750,9000,,600,140,2,70,50,25,25,25,1800,OMNI,,180,0.5,0.8,,,110,220,150,90,3,,8,160000,4,20,390,0.25,25,25,"CARRIER, COMBAT, FREIGHTER, TANKER, NO_AUTO_ESCORT",hightech_bp,,0.6,2,3,
Pioneer,vayra_pioneer,Salvage Cruiser,Midline,burndrive,14,9000,1000,7500,,300,120,1,40,30,20,16,16,2000,OMNI,,150,0.4,1,,,150,350,400,200,2,,7,110000,4,15,480,0.25,17,17,"COMBAT, FREIGHTER, TANKER","rare_bp, kadur_mining_bp, independent, scavengers, mercantile",,0.3,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrant,vayra_tyrant,Fast Battleship,Low Tech,vayra_microburn,26,14000,1350,16000,,800,290,2,40,30,25,6,8,2750,FRONT,,210,0.4,1.2,,,575,1150,350,425,12,,8,340000,3,12,660,0.25,40,40,,"rare_bp, luddic_church, hegemony, sindrian_diktat",,0.5,2,5,
Warlord,vayra_warlord,Battleship,Low Tech,maneuveringjets,30,18000,1600,20000,,1200,280,,20,10,10,6,4,3000,OMNI,,180,0.4,1,,,600,1200,300,400,15,,7,350000,3,12,720,0.25,50,50,HIDE_IN_CODEX,,,0.5,2,5,
Pathfinder,vayra_pathfinder,Expedition Battlecruiser,Midline,reservewing,20,9500,900,12000,,500,210,2,45,40,30,12,20,2000,OMNI,,90,0.6,1,,,250,1250,600,800,10,,7,275000,3,15,660,0.25,30,30,,"kadur_mining_bp, independent, scavengers, mercantile, science",,0.6,2,5,
Bear,vayra_bear,Heavy Platform,Midline,maneuveringjets,30,25000,1600,14000,,900,275,7,15,8,4,4,2,5000,FRONT,,210,0.4,1,,,800,2000,1200,1200,15,,6,400000,3,15,840,0.25,60,60,"CARRIER, COMBAT, NO_AUTO_ESCORT","kadur_mining_bp, independent, scavengers, mercantile",,0.2,2,5,
