name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Phase Blaster,vayra_phase_blaster,2,,250,500,,200,,0,35,7,,,,ENERGY,280,,0,1,1,,,,,,,1600,,,,,"energy8, hightech_bp",,,,General,,,,,,,,,,2 Small Energy
Annihilator Rocket Rack,vayra_annihilator_rack,0,,50,1500,,200,,5,30,0,10,,,HIGH_EXPLOSIVE,0,,0,1,10,0.1,0,30,3,30,,400,50,3.75,50,,"rocket3, strike0, missile_bp",,,,Anti Armor,Fast,None,,,,,,,,3 Small Missile
Harvester-class Torpedo Rack,vayra_harvester_rack,1,,200,1200,,4000,,75,10,2,2,,,FRAGMENTATION,0,,0,1,1,,,,,,,400,100,3.5,500,STRIKE,"strike6, rocket2, missile_bp",,,,Torpedo,Fast,None,,,,,,,TRUE,3 Small Missile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short-Circuit Driver,vayra_shortcircuit_driver,2,,1100,550,,175,400,20,10,10,,,,KINETIC,350,,0,2,1,,,,,,,500,,,300,,"kinetic11, sindrian_diktat, scavengers, independent, rare_bp, luddic_church, luddic_path",,,,Suppression,,,,,"Projects an EMP arc to the %s passing within %s of the projectile, including missiles.",first hostile entity | 100 su,,,,4 Medium Ballistic
Charged Particle Smartflak,vayra_smartflak,3,,4000,800,,75,,10,30,16,,,,ENERGY,60,,0,0.4,,,1,6,1,3,,800,,,30,"PD, PD_ALSO","energy12, pd12, LR, remnant, scavengers",,Recovered Tech,,Anti Small Craft (Area),,,,,Projectiles %s on their way to their target.,avoid allies,,,,4 Medium Ballistic
Degraded Particle Streamer,vayra_degraded_particle_beam,0,,750,600,900,,,200,7,7,,,,FRAGMENTATION,,500,0.25,0.5,1,4,,,,,69420,,,,,,"energy9, beam9, base_bp",,,,General,,,,,"Impacts with substantial force, potentially causing some small craft to spin out of control.",,,,,5 Medium Energy
LR Pulse Laser,vayra_degraded_pulselaser,0,,1000,800,,50,,0,15,7,,,,ENERGY,65,,0.33,0,,,,,,,,800,,,,,"energy9, rare_bp, pirates, scavengers, independent",,,,General,,,,,,,,,,5 Medium Energy
Heavy Plasma Cutter,vayra_heavy_cutter,1,,1500,400,1200,,,0,10,10,,,,HIGH_EXPLOSIVE,,1600,0.2,0.5,1,6,,,,,800,,,,,,"he10, strike9, SR, rare_bp, kadur_mining_bp, pirates, scavengers, derelict",SR_strike_only,,,Anti Armor,,,,,,,,,,5 Medium Energy
Medium Combat Laser,vayra_combat_laser,1,,1200,1000,150,,,0,25,10,,,,ENERGY,,150,0.1,0.1,,,,,,,4000,,,,,"PD, PD_ALSO","pd9, beam11, hightech_bp",,,,General,,,,,,,,,,5 Medium Energy
Corrosive Plasma Breeder,vayra_biorifle,2,,2500,900,,1000,,0,10,14,,,,ENERGY,1800,,1,8,1,,,,,,,250,,,,FIRE_WHEN_INEFFICIENT,"energy13, he10, kadur_mining_bp, scavengers, derelict",,Recovered Tech,,Suppression (Area),,,,,"Projectile %s into %s at maximum range or upon reaching its target, each of which deals %s damage. Direct impacts cause the projectile to %s, dealing its full damage to the target without scattering.",scatters | 7 lingering 'child' particles | 50% | destabilize prematurely,,,,5 Medium Energy
FAKE GES Bio-Rifle,vayra_biorifle_copy,2,,2500,900,,500,,0,10,14,,,,ENERGY,150,,0,1,1,,,,,,,120,,,,SYSTEM,,,,,,,,,,,,,,,ZZ Copy Projectile
Particle Streamer,vayra_particle_beam,3,0.75,3000,800,1500,,,400,10,12,,,,FRAGMENTATION,,800,0.25,0.5,1,4,,,,,69420,,,,,,"energy13, beam11, kadur_mining_bp, scavengers, derelict",,Recovered Tech,,General,,,,,"Impacts with substantial force, causing small craft to spin out of control.",,,,,5 Medium Energy
Hammer Pod,vayra_hammer_pod,0,,1200,1200,,1500,,30,10,10,8,,,HIGH_EXPLOSIVE,0,,0,8,2,0.25,,,,,,500,40,4,350,STRIKE,"strike12, rocket9, kadur_mining_bp, missile_bp, pirates, luddic_church, luddic_path",,,,Torpedo,Fast,None,,,,,,,TRUE,6 Medium Missile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flux Conduits,vayra_typhon_glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Left Light Beam Sponson,vayra_groundhog_light_beam_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Left Heavy Beam Sponson,vayra_groundhog_heavy_beam_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Left Light Blaster Sponson,vayra_groundhog_light_proj_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Left Heavy Blaster Sponson,vayra_groundhog_heavy_proj_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Right Light Beam Sponson,vayra_groundhog_light_beam_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Right Heavy Beam Sponson,vayra_groundhog_heavy_beam_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Right Light Blaster Sponson,vayra_groundhog_light_proj_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Right Heavy Blaster Sponson,vayra_groundhog_heavy_proj_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearclaw Gigablaster,vayra_bearclaw,3,,0,800,,700,,0,7,,,,,ENERGY,700,,0.75,4.5,3,0.17,0,30,15,30,,1200,,,,"SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Recovered Tech,,General,,,,,,,,,,ZZ BuiltinOrFighter
Ionized Plasma Projector,vayra_prospector_drill,1,,0,800,685,,685,0,5,,,,,HIGH_EXPLOSIVE,,685,0.1,0.15,0.5,0.5,,,,,4800,,,,,"SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Recovered Tech,,Anti Armor,,,,,"Hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage.",,,,,ZZ BuiltinOrFighter
Looted Thermal Pulse Cannon,vayra_looted_tpc,0,,0,900,,200,,0,10,20,10,0.5,1,ENERGY,170,,0,0.2,1,,4,28,4,4,,600,,,,SYSTEM,"no_drop, no_drop_salvage",TPC_only,XIV Battlegroup,,General,,,,,,,,,,ZZ BuiltinOrFighter
Hammer Carrier Kamikaze Wing,vayra_hammer_carrier_p_launcher,0,,0,2000,,1500,,50,10,,2,0.1,2,HIGH_EXPLOSIVE,0,,0,0.44,1,,,,,,,125,125,180,600,"SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Pirate,,Drone,Slow,Good,,,,,,,TRUE,ZZ BuiltinOrFighter
Light Tactical Laser,vayra_lighttac,1,,0,1000,40,,,0,30,,,,,ENERGY,,60,0.1,0.1,,,,,,,4800,,,,,"PD_ALSO, SYSTEM, SHOW_IN_CODEX","beam6, LR, no_drop, no_drop_salvage",,,,General,,,,,Will target missiles if no other targets are in range.,,,,,ZZ BuiltinOrFighter
LR Mining Laser,vayra_lr_mining_laser,0,,0,1000,30,,,0,30,2,,,,ENERGY,,30,0.25,0.25,,,,,,,4800,,,,,"PD, SYSTEM, SHOW_IN_CODEX","beam0, energy0, pd0, no_drop, no_drop_salvage",,,,Point Defense,,,,,,,,,,ZZ BuiltinOrFighter
Mining Lance,vayra_mining_lance,0,,0,400,300,,,0,80,2,,,,ENERGY,,300,0.1,0.1,0.3,2,,,,,69420,,,,,"PD, SYSTEM, SHOW_IN_CODEX","beam0, energy0, pd0, no_drop, no_drop_salvage",,,,Point Defense,,,,,,,,,,ZZ BuiltinOrFighter
Thermal Pulse Lance,vayra_thermal_lance_builtin,1,,0,600,1000,,,0,10,,3,0.2,1,HIGH_EXPLOSIVE,,1000,0.15,0.3,0.4,0.7,,,,,3200,,,,,"SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,,,Strike,,,,,,,,,,ZZ BuiltinOrFighter
Squall Rocket (Single),vayra_squall_fighter,2,,0,600,,250,100,15,20,,1,0.1,1,KINETIC,0,,0,1,1,,,,,,,600,100,4.75,300,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","no_drop, no_drop_salvage",,,,Suppression,Very Fast,Special,,,Unguided after a brief initial aiming stage.,,,,,ZZ BuiltinOrFighter
Stinger-class Mine Teleporter,vayra_fragmine,0,,0,750,,500,,10,30,,20,0.2,,FRAGMENTATION,0,,0,1,1,,,,,,,50,20,7,150,"SYSTEM, ANTI_FTR","no_drop, no_drop_salvage",,,,,,,,,,,,,TRUE,ZZ BuiltinOrFighter
LR Mining Lance Array,vayra_not_guardian,3,,0,1000,1000,,,0,90,,20,1,,ENERGY,,1200,0,0,0.2,0.1,,,,,1000000,,,,,"SYSTEM, PD, ANTI_FTR","no_drop, no_drop_salvage",,Recovered Tech,,Point Defense,,,,,,,,,,ZZ BuiltinOrFighter
