id,type,frame,magnitude,map,path
TADA_pinnace,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_pinnace_NRM.png
TADA_whirlwind,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_whirlwind_Normal.png
TADA_hightide,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_hightide_Normal.png
TADA_hightide_pirate,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_hightide_Normal.png
TADA_brillantX,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_brillant_X_Normal.png
TADA_scintillaX,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_scintilla_X_Normal.png
TADA_shine,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_shine_Normal.png
TADA_lasherTT,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_lasherTT_Normal.png
TADA_owl,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_owl_Normal.png
TADA_owlDrone,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_owlDrone_NRM.png
TADA_firespitter,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_firespitter_Normal.png
,,,,,
TADA_cassicus,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_cassicus_Normal.png
TADA_scalper,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_scalper_Normal.png
TADA_herald,ship,,1,normal,graphics/TORCHSHIPS/maps/ships_normals/TADA_monarch_Normal.png
