name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Blita,ocua_blita,1,,1200,450,,50,30,0,75,7,,,,ENERGY,25,,,0.3333,1,,,,,,,2000,,,,,,"PD,ANTI_FTR","energy12, ocua_weapons_bp, ocua",,Oculian,,Point Defense,,,,,"Does %s extra Energy damage to Missiles. 
Does %s extra High-Explosive damage to Fighters and has %s chance to arc on them, dealing %s primary damage while %s EMP damage.",100% | 75% | 15% | 50% | 200%,,,,410102
Fairy,ocua_fairy,2,0.4,1800,600,,260,,50,15,11,,,,ENERGY,180,,0.1,0.65,,,,,,,,600,,,200,,,ANTI_FTR,"energy20, ocua_general_bp, ocua",,Oculian,,General,,,,,,,,,,410103
Kaina,ocua_kaina,2,,1400,450,,80,,0,20,7,,,,ENERGY,60,,0.67,0.83,1,,30,45,1,5,,2000,,,,,,ANTI_FTR,"energy12, ocua_weapons_bp, ocua",,Oculian,,General,,,,,"Is not a true beam weapon, therefore cannot receive Beam enhancements.
Can receive standard Energy enhancements instead.",,,,,410104
Gleam,ocua_gleam,0,,1000,600,500,,,0,40,8,,,,ENERGY,,1000,0,1.3,0.2,0.5,,,,,1000000,,,,,,,ANTI_FTR,"beam7, SR, ocua_general_bp, ocua_weapons_bp, ocua",,Oculian,,Point Defense,,,,,Beams deal %s more damage to missiles,150%,,,,410105
Stredia,ocua_mi_stredia,3,,2500,650,,140,,10,40,14,,,,ENERGY,105,,0.1,0.3,1,,,,,,,1600,,,,,,ANTI_FTR,"energy12, ocua, ocua_mikanate",,Mikanate,,General,,,,,First shot within %s seconds deals a total of %s as Kinetic damage and additionally %s EMP damage. Firing within the cooldown resets the charge counter.,3|250%|100,,,,410106
,ocua_mi_stredia_z,3,,2500,650,,350,100,10,40,6,,,,KINETIC,105,,0.1,0.3,1,,,,,,,1600,,,,,,SYSTEM,,,,,,,,,,,,,,,410106.01
Shecina,ocua_shecina,2,0.75,1500,750,,120,80,5,40,7,,,,FRAGMENTATION,40,,0.15,1.15,4,0.1,0,7,0.5,5,,800,,,60,,,,"energy8, ocua_general_bp, ocua_weapons_bp, ocua",,Oculian,,Suppression,,,,,"Unshielded hits attempt %s chance to arc %s times, stops when successful %s.
Arcs deal %s EMP damage and %s base damage as Energy.",25% | 3 | once | full | 20%,,,,410107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurtina,ocua_kurtina,0,,2200,1000,270,,,0,10,12,,,,HIGH_EXPLOSIVE,,135,0.5,0.2,,,,,,,3000,,,,,,,"PD,ANTI_FTR","beam20, LR, ocua_basic_bp, ocua",,Oculian,,Anti Armor,,,,,,,,,,410200
Leia,ocua_leia,1,,2500,750,,75,,10,20,14,,,,ENERGY,45,,0.1,0.1,1,,0,5,1,5,,1600,,,,,,ANTI_FTR,"energy18, ocua_general_bp, ocua",,Oculian,,General,,,,,,,,,,410201
Manndie,ocua_mi_manndie,3,,8000,750,,140,,10,20,20,,,,ENERGY,90,,0.1,0.15,1,,0,5,1,5,,1600,,,,,,ANTI_FTR,"energy18, ocua_general_bp, ocua_mikanate, ocua",,Mikanate,,General,,,,,Fires %s shots with each dealing %s the damage. %s shot will fire all barrels launching %s shots with each dealing %s damage as Fragmentation.,2|half|6th|6|full,,,,410201
,ocua_mi_manndie_z,0,,100,750,,70,,10,20,,,,,ENERGY,45,,0.1,0.1,1,,0,5,1,5,,1600,,,,,,SYSTEM,,,,,,,,,,,,,,,410201
,ocua_mi_manndie_za,0,,100,750,,140,,10,20,,,,,FRAGMENTATION,45,,0.1,0.1,1,,0,5,1,5,,1600,,,,,,SYSTEM,,,,,,,,,,,,,,,410201
Freya,ocua_freya,2,0.4,4500,700,,260,,50,10,18,20,2,,ENERGY,290,,0,0.2,1,,7,25,2,5,,600,,,200,,,ANTI_FTR,"energy20, ocua_weapons_bp, rare_bp, ocua",,Oculian,,General,,,,,,,,,,410202
Ruby,ocua_ruby,2,,3000,1200,,120,90,10,10,14,,,,ENERGY,150,,0,1,1,,0,0,0,0,,2400,,,,,,,"energy18, rare_bp, ocua",,Oculian,,Pressure,,,,,Ruby hardlights deal %s extra damage as Energy to shields.,150%,,,,410203
Vira,ocua_vira,2,,2800,550,,70,35,0,60,14,,,,ENERGY,40,,,0.2,1,,,,,,,2000,,,,,,"PD,ANTI_FTR","energy12, ocua_weapons_bp, ocua",,Oculian,,Point Defense,,,,,"Does %s extra Energy damage to Missiles. 
Does %s extra High-Explosive damage to Fighters and has %s chance to arc on them, dealing %s primary damage while %s EMP damage.",100% | 75% | 15% | 50% | 200%,,,,410204
Katalina,ocua_katalina,1,,3200,550,,120,,0,20,13,,,,ENERGY,90,,0.8,1.2,1,,30,45,1,5,,2000,,,,,,ANTI_FTR,"energy12, ocua_weapons_bp, ocua",,Oculian,,General,,,,,"Is not a true beam weapon, therefore cannot receive Beam enhancements.
Can receive standard Energy enhancements instead.",,,,,410205
Glistal,ocua_glistal,0,,3000,800,1350,,,0,15,12,,,,ENERGY,,3000,,1.3,0.2,1.5,,,,,1000000,,,,,,,,"beam7, ocua_general_bp, ocua",,Oculian,,General,,,,,Beams deal %s more damage to missiles,150%,,,,410206
Nicor,ocua_nicor,1,,3000,750,,260,,50,10,12,,,,ENERGY,160,,0,1.6,3,0.2,0,5,0.5,5,,750,,,200,,,ANTI_FTR,"energy20, ocua_general_bp, ocua_weapons_bp, ocua",,Oculian,,General,,,,,,,,,,410207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pixel Torpedo,ocua_pixel,0,,200,2000,,800,,100,10,1,1,,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,350,750,8,150,,,STRIKE,"strike9, missile1, ocua_basic_bp, ocua",,Oculian,,Torpedo,Medium,Poor,,,,,,,TRUE,411000
Shizuka,ocua_shizuka,0,,150,1500,,35,,5,15,2,60,0.2,20,HIGH_EXPLOSIVE,0,,0,0.85,2,0.15,0,0,0,0,,400,50,4,10,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, ocua_general_bp, ocua",,Oculian,,Anti Small Craft,Medium,Good,,,,,,,,411001
Sazanami,ocua_sazanami,0,,100,1800,,300,75,10,30,2,4,,,HIGH_EXPLOSIVE,0,,0,0.75,1,,0,0,0,,,300,200,18,100,,,DO_NOT_AIM,"missile8, strike3, ocua_weapons_bp, ocua",,Oculian,,Finisher,Medium,Medium,,,,,,,TRUE,411002
Resel Cryket Launcher,ocua_resel,0,,150,1500,,120,,5,20,2,40,0.4,20,FRAGMENTATION,0,,0,3,4,0.1,0,0,0,0,,800,100,2.75,25,,,,"rocket7, strike0, ocua_weapons_bp, ocua",,Oculian,,General,Very Fast,None,,,Rockets propel forward shortly after launch.,,,,,411003
Kilopixel Torpedo,ocua_kilopixel,2,0.2,200,2000,,2400,,200,10,4,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,300,400,8,300,,,STRIKE,"strike9, missile1, ocua, ocua_mikanate",,Mikanate,,Torpedo,Medium,Medium,,,,,,,TRUE,412003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pixel+ Pod,ocua_pixelplus,1,,1500,2000,,800,,100,10,4,8,,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,350,750,8,150,,,STRIKE,"strike9, missile1, ocua_general_bp, ocua",,Oculian,,Torpedo,Medium,Poor,,,,,,,TRUE,411100
Shizukesa,ocua_shizukesa,1,,800,1500,,35,,5,15,4,180,0.6,60,HIGH_EXPLOSIVE,0,,0,0.8,4,0.05,0,0,0,0,,400,50,4,10,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, ocua_weapons_bp, ocua",,Oculian,,Anti Small Craft,Medium,Good,,,,,,,,411101
Suzuya,ocua_suzuya,0,,900,1800,,300,75,10,30,5,20,,,HIGH_EXPLOSIVE,0,,0,0.5,1,,0,0,0,,,300,200,18,100,,,DO_NOT_AIM,"missile8, strike3, ocua_weapons_bp, ocua",,Oculian,,Finisher,Medium,Medium,,,,,,,TRUE,411102
Resel+ Pod,ocua_reselplus,0,,600,1500,,120,,5,20,4,120,1.2,60,FRAGMENTATION,0,,0,0.3,2,0.1,0,0,0,0,,800,100,2.75,25,,,,"rocket13, strike0, ocua_weapons_bp, ocua",,Oculian,,General,Very Fast,None,,,Rockets propel forward shortly after launch.,,,,,411103
Macroxel Torpedo,ocua_macroxel,2,,2000,2000,,4000,,500,10,5,2,,,FRAGMENTATION,0,,0,10,1,,0,0,0,0,,250,150,10,1000,,,"STRIKE, CONSERVE_5","strike9, missile1, ocua_weapons_bp, ocua",,Oculian,,Finisher,Slow,Very Poor,,,"Blast effect triggers %s in the same explosion, with second wave dealing %s damage. Both damage waves span in a radius of %s units.",twice|full|300,,,TRUE,411004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pixel++ Launcher,ocua_pixelplux,1,,4000,2000,,800,,100,10,12,40,,,HIGH_EXPLOSIVE,0,,0,10,2,0.25,0,0,0,0,,350,750,8,150,,,STRIKE,"strike18, rocket14, ocua_weapons_bp, ocua",,Oculian,,Torpedo,Medium,Poor,,,,,,,TRUE,411200
Shimakaze,ocua_shimakaze,0,,4500,1500,,70,,5,15,10,360,1.2,120,HIGH_EXPLOSIVE,0,,0,2.05,9,0.05,0,0,0,0,,400,50,4,10,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, ocua_weapons_bp, ocua",,Oculian,,Anti Small Craft,Medium,Good,,,Fires a volley of %s missiles with each dealing %s HE damage.,18|35,,,,411201
Voxel,ocua_voxel,0,,4250,2800,,600,,200,10,11,10,,,HIGH_EXPLOSIVE,0,,0,8,1,,0,0,0,0,,200,250,16,400,,,"STRIKE, DO_NOT_AIM","missile18, strike15, ocua_weapons_bp, ocua",,Oculian,,Support,Fast,Poor,,,"Main Voxel missile deal %s High Explosive damage, should the MIRVs not activate.",600,,,TRUE,411202
Macroxel+ Launcher,ocua_macroxelplus,2,,5000,2000,,4000,,500,10,13,12,,,FRAGMENTATION,0,,0,10,1,,0,0,0,0,,250,150,10,1000,,,"STRIKE, CONSERVE_5","strike9, missile1, ocua_weapons_bp, ocua",,Oculian,,Finisher,Slow,Very Poor,,,"Blast effect triggers %s in the same explosion, with second wave dealing %s damage. Both damage waves span in a radius of %s units.",twice|full|300,,,TRUE,411203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shima Missile,ocua_shi_micro,0,,410,1500,,35,,5,15,10,,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,400,50,4,10,,,SYSTEM,,,,,,,,,,,,,,,411099.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deci Pixie,ocua_pixie_fighter,0,,100,500,,200,,50,25,3,,,,ENERGY,50,,0,3.5,,,,,,,,900,,,,,,"ANTI_FTR, SYSTEM",energy20,,Oculian,,General,,,,,,,,,,412000
Pirouette (Pod),ocua_scarabee_pirouette,0,,100,600,,30,5,3,25,4,,,,ENERGY,55,,0,0.5,1,,0,5,1,10,,1600,,,20,,,"ANTI_FTR, SYSTEM",energy12,,Oculian,,General,,,,,,,,,,412001
Pixel Torpedo (Limited),ocua_pixel_cancer,0,,200,1000,,800,,100,10,1,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,350,550,6,150,,,"STRIKE, SYSTEM","strike9, missile1",,Oculian,,Torpedo,Medium,Poor,,,,,,,TRUE,412002
Kilopixel Torpedo (Limited),ocua_kilopixel_cancer,0,,200,800,,2400,,200,10,1,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,300,200,12,300,,,"STRIKE, SYSTEM","strike9, missile1",,Oculian,,Torpedo,Medium,Medium,,,,,,,TRUE,412003
"Fouette (Tick-type, Delayed)",ocua_fouette_tick_d_left,0,,150,550,,30,5,3,35,2,,,,ENERGY,25,,0,0.65,2,0.1,0,5,1,10,,1200,,,20,,,"ANTI_FTR, SYSTEM",energy12,,Oculian,,General,,,,,,,,,,412004
"Fouette (Tick-type, Delayed)",ocua_fouette_tick_d_right,0,,150,550,,30,5,3,35,2,,,,ENERGY,25,,0,0.65,2,0.1,0,5,1,10,,1200,,,20,,,"ANTI_FTR, SYSTEM",energy12,,Oculian,,General,,,,,,,,,,412004
Fouette (Tick-type),ocua_fouette_tick_left,0,,150,550,,30,5,3,35,2,,,,ENERGY,20,,0,0.4,2,0.1,0,5,1,10,,1200,,,20,,,"ANTI_FTR, SYSTEM",energy12,,Oculian,,General,,,,,,,,,,412004
Fouette (Tick-type),ocua_fouette_tick_right,0,,150,550,,30,5,3,35,2,,,,ENERGY,20,,0,0.4,2,0.1,0,5,1,10,,1200,,,20,,,"ANTI_FTR, SYSTEM",energy12,,Oculian,,General,,,,,,,,,,412004
Frappe (Tick-type),ocua_frappe_tick_left,0,,150,550,,30,5,3,35,3,,,,ENERGY,20,,0,0.35,3,0.05,0,5,1,10,,1200,,,20,,,"ANTI_FTR, SYSTEM",energy12,,Oculian,,General,,,,,,,,,,412005
Frappe (Tick-type),ocua_frappe_tick_right,0,,150,550,,30,5,3,35,3,,,,ENERGY,20,,0,0.35,3,0.05,0,5,1,10,,1200,,,20,,,"ANTI_FTR, SYSTEM",energy12,,Oculian,,General,,,,,,,,,,412005
Blita (Delayed),ocua_blita_breeze,1,,600,450,,70,30,0,75,7,,,,ENERGY,30,,0,0.67,1,,0,2,1,10,,2000,,,,,,"PD,ANTI_FTR, SYSTEM",energy12,,Oculian,,Point Defense,,,,,"Does %s extra Energy damage to Missiles. 
Does %s extra High-Explosive damage to Fighters and has %s chance to arc on them, dealing %s primary damage while %s EMP damage.",100% | 75% | 15% | 50% | 200%,,,,412006
Shena (Compact),ocua_shena_fighter,0,,500,350,,160,100,5,40,1,,,,FRAGMENTATION,10,,0,0.5,,,0,0,0,0,,1200,,,50,,,SYSTEM,"energy8, ocua_general_bp, ocua_weapons_bp, ocua",,Oculian,,Suppression,,,,,"Unshielded hits attempt %s chance to arc %s times, stops when successful %s.
Arcs deal %s EMP damage and %s base damage as Energy.",25% | 3 | once | full | 20%,,,,412007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flandrey Beam Cannon,ocua_flandrey,4,,100000,1200,1050,,,0,5,,,,,HIGH_EXPLOSIVE,,840,1.5,0.5,,,,,,,5000,,,,,,,"SYSTEM,SHOW_IN_CODEX","ocua_beam_Sup1, LR",,Oculian,,,,,,,Actual firing begins after %s seconds of charging.,1.5,,,,413000
Luna Cannon,ocua_luna,4,,100000,2400,,2000,500,350,5,,,,,ENERGY,2000,,2.333,3.667,1,,0,0,0,0,,300,,12,,,,SYSTEM,energy18,,Oculian,,,,,,,Fires an intense ball of plasma that does %s arcs periodically that does %s damage and EMP damage of the host projectile within a range of %s units. Explodes at a radius of %s units.,3 | 10% | 600 | 200,,,,413001
Altera Missile Platform,ocua_galalixia_rack,4,,100000,2000,,400,75,10,5,,60,0.3334,20,HIGH_EXPLOSIVE,0,,0,8,20,0.1,0,0,0,,,300,200,20,100,,,"SYSTEM,DO_NOT_AIM, DO_NOT_CONSERVE","missile8, strike3",,Oculian,,Finisher,Medium,Medium,,,,,,,,413002
Alterima Missile Pod,ocua_alterima,4,,50000,2000,,400,75,10,5,,30,0.1,10,HIGH_EXPLOSIVE,0,,0,4,5,0.1,0,0,0,,,300,200,20,100,,,"SYSTEM,DO_NOT_AIM, DO_NOT_CONSERVE","missile8, strike3",,Oculian,,Finisher,Medium,Medium,,,,,,,,413002
Sagulum Beam Array,ocua_sagulum_elizabeth,4,,50000,1200,260,,,0,10,12,,,,HIGH_EXPLOSIVE,,300,0.5,0.2,,,,,,,3000,,,,,,,SYSTEM,"beam20, LR, ocua_basic_bp",,Oculian,,Anti Armor,,,,,,,,,,413003
Lamella Plasma Barrage,ocua_lamella_station,4,,50000,3000,,520,130,50,15,11,,,,ENERGY,65,,0,5,11,0.05,,,,,,200,,,200,,,"STRIKE, SYSTEM, DO_NOT_CONSERVE",,,Oculian,,General,,,,,,,,,,413004
Planet Cracker,ocua_planetcracker,4,,100000,1200,1250,,100,,,,,,,ENERGY,,1500,5,1,,,,,,,5000,,,,,,,SYSTEM,,,Oculian,,,,,,,,,,,,413010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Core,ocua_core_slot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,414000
Quantix Hangar,ocua_hangar_slot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,414001
