name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
XIV Targeting Core,vayra_xiv_core,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraXIVCore,Extends the range of nonmissile weapons by %s. Precludes the installation of a Dedicated Targeting Core or an Integrated Targeting Unit.,,graphics/icons/abilities/transponder.png
Light Ballistics Integration,vayra_light_ballistics,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraLightBallistics,Reduces the ordnance point cost of small ballistic weapons by %s.,,graphics/icons/skills/advanced_countermeasures.png
Overtaxed Targeting System,vayra_overtaxed_targeting,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_overtaxed_targeting,"This ship's targeting mainframe is somewhat below spec and suffers from an inability to properly account for projectile travel times and aether-ballistic coefficients, reducing the range of Ballistic and Energy weapons mounted on the hull by %s.",,graphics/icons/skills/target_analysis.png
Targeting Pods,vayra_targeting_pods,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.vayra_targeting_pods,YOU NEVER SHOULD HAVE COME HERE AND NOW YOU'RE GONNA PAY,,
Very Ill-Advised Modifications,vayra_very_ill_advised,,,,,,,,TRUE,,0,0,0,0,data.hullmods.IllAdvised,"This hull's systems have been drastically and irreparably modified from spec, without certified engineering oversight or possibly without any oversight at all. Its systems appear to work correctly under routine conditions, but have a significant chance of critical malfunction when stressed.",,graphics/hullmods/vayra_very_ill_advised.png
Hardwired Mining Lasers,vayra_mining_tools,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraMiningTools,"This hull integrates %s which will %s whenever an appropriate weapon slot is left empty and %s are available to equip them. A laser can be switched between configurations by removing it from the hull, but %s.",,graphics/hullmods/ballistics_integration.png
Internal Weapon Mounts,vayra_groundhog_sponsons,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGroundhogSponsons,"Originally designed for high-risk mining operations in dense asteroid cover or planetary debris, the Groundhog's main weapons emplacements are buried deep within armored sponsons which render them all but %s to disable through damage, short of destroying the ship.",,graphics/hullmods/vayra_groundhog_sponsons.png
Blasting Forge,vayra_bear_autoforge,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraBearAutoforge,"The Bear contains a full-scale missile autoforge, originally dedicated to the production of Hammer-class mining charges but easily recoded for military-grade munitions. The autoforge slowly %s of all missile weapons at a rate of %s of each weapon's magazine every %s seconds.",,graphics/hullmods/missile_autofactory.png
Terminator Core,vayra_fake_terminator_core,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraTerminatorCore,"Advanced - and very likely illegal - AI-controlled subroutines have fully optimized many aspects of this craft's performance. 

Autofire accuracy, damage to missiles and fighters, and beam weapon turn speed are all increased by %s. Dynamic stabilization algorithms extend beam range by %s and prevent the engines from flaming out when damaged or struck by EMP, and target identification networks allow point defense weapons to reliably distinguish flares from legitimate missile threats.",,graphics/hullmods/terminator_core.png
,,,,,,,,,,,,,,,,,,
# ANTEDILUVIAN,,,,,,,,,,,,,,,,,,
Atlantean Relic,antediluvian,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.Antediluvian,"The experimental p-space submersion systems of the Antediluvian Armada %s their sensor signature, enabling them to launch devastating hit-and-fade attacks against shipping in the Persean Sector. Originally designed for submarine warfare, their vessels hold up poorly in prolonged extraatmospheric engagements and suffer a %s increased rate of CR decay once their peak performance time has run out.",,graphics/hullmods/antediluvian.png
