name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Tick Elite,ocua_tick_elite,,Oculian,,,350,100,500,,100,0,,210,260,240,120,200,55,OMNI,,150,0,0.9,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,410020.01
Tick Mikanate,ocua_tick_mi,,Mikanate,,,400,150,600,,150,0,,200,250,240,120,200,60,OMNI,,150,0,0.9,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,410020.1
Loach,ocua_loach,,Oculian,,,400,,1000,,100,,,160,240,320,240,360,100,PHASE,phasecloak,90,,,0.08,0.03,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,410030
Loach Mikanate,ocua_loach_mi,,Mikanate,,,700,,1250,,120,,,160,240,320,240,360,150,PHASE,phasecloak,90,,,0.08,0.03,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,410030.01
Cucumber,ocua_cucumber,,Oculian,ocua_breeze_cucumber,,3000,250,4000,,400,50,,250,400,300,60,90,200,FRONT,,150,0,0.9,,,0,0,,,,,,,,,,,,,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",,,0.4,2,3,,410040
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prily,ocua_prily,Gunboat,Oculian,ocua_energyfeed,2,600,100,2500,,300,30,,240,270,200,175,350,150,FRONT,,300,0,0.9,,,1,1,10,20,0.4,50,11,8000,15,20,240,0.2,4,4,,,,,,,,"ocua_basic_bp, ocua",,0.9,2,2,,410200
Prily (Mi),ocua_prily_mi,Gunboat,Mikanate,ocua_energyfeed,5,750,150,3000,,350,35,,200,220,180,150,250,200,FRONT,,300,0,0.85,,,1,1,10,20,0.4,50,11,32000,15,20,240,0.2,9,9,,,,,,,,"no_drop, ocua_basic_mi_bp, ocua, ocua_mikanate, req_military",,0.9,2,2,,410200
Chimly,ocua_chimly,Drone Carrier,Oculian,ocua_mollusc,3,750,100,2000,,200,15,1,140,180,140,100,150,200,FRONT,,240,0.3,0.9,,,1,1,30,20,0.4,50,11,8000,12,20,240,0.2,4,4,,,,,,,"CARRIER, UNBOARDABLE","ocua_basic_bp, ocua",,0.9,2,2,,410201
Chimly (Mi),ocua_chimly_mi,Drone Carrier,Mikanate,ocua_mollusc_mi,5,900,150,2000,,250,25,2,130,160,120,100,120,250,FRONT,,240,0.3,0.85,,,1,1,30,20,0.4,50,11,26000,12,20,240,0.2,6,6,,,,,,,"CARRIER, UNBOARDABLE","no_drop, ocua_basic_mi_bp, ocua, ocua_mikanate, req_military",,0.9,2,2,,410201
Gretly,ocua_gretly,Gunport,Oculian,ocua_mollusc,2,650,50,1500,938,200,25,,180,200,160,120,250,100,FRONT,,300,0.3,0.9,,,1,1,20,20,0.4,50,11,4000,15,20,240,0.2,2,2,,,,,,,,"ocua_basic_bp, ocua",,0.9,2,2,,410202
Gretly (Mi),ocua_gretly_mi,Artillery Port,Mikanate,ocua_mollusc_mi,5,700,100,2000,,250,30,,180,180,150,120,200,150,FRONT,,300,0.3,0.85,,,1,1,20,20,0.4,50,11,22000,15,20,240,0.2,4,4,,,,,,,,"no_drop, ocua_basic_mi_bp, ocua, ocua_mikanate, req_military",,0.9,2,2,,410202
Huely,ocua_huely,Phase Frigate,Oculian,highenergyfocus,4,900,250,2200,,200,25,,190,150,135,90,150,150,PHASE,phasecloak,90,,,0.1,0.08,1,1,20,20,0.4,50,11,15000,15,20,240,0.2,5,5,,,,,,,,"ocua_general_bp, ocua, req_military",,0.95,2,2,,410203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimis,ocua_chimis,Light Carrier,Oculian,ocua_mollusc,6,3000,200,3600,,250,45,3,90,105,90,45,50,300,FRONT,,300,0.3,0.9,,,15,20,70,60,1.2,50,10,24000,8,12,360,0.2,10,10,,,,,,,CARRIER,"ocua_basic_bp, ocua",,0.85,2,3,,410300
Chimis (Mi),ocua_chimis_mi,Light Carrier,Mikanate,ocua_mollusc_mi,10,4000,250,4000,,300,60,3,90,95,80,45,50,300,FRONT,,300,0.3,0.85,,,15,20,70,60,1.2,50,10,80000,8,12,360,0.2,14,14,,,,,,,CARRIER,"no_drop, ocua_basic_mi_bp, ocua, ocua_mikanate, req_military",,0.85,2,3,,410300
Sophis,ocua_sophis,Destroyer,Oculian,ocua_mollusc_x2,7,3000,400,5000,,400,65,,150,150,120,60,55,200,OMNI,,120,0.3,0.9,,,15,20,50,60,1.2,50,10,20000,12,10,360,0.2,9,9,,,,,,,,ocua_basic_bp,,0.85,2,3,,410301
Lemphis,ocua_lemphis,Destroyer,Mikanate,ocua_mollusc_mi_x2,11,3000,500,5000,,450,70,,160,160,130,70,60,200,OMNI,,120,0.3,0.85,,,15,20,40,60,1.2,50,10,72000,12,10,360,0.2,14,14,,,,,,,,"no_drop, ocua_basic_mi_bp, ocua, ocua_mikanate",,0.85,2,3,,410301
Sophis B,ocua_sophis_b,Light Tanker,Oculian,ocua_mollusc,4,2500,250,2500,,200,40,,110,90,90,50,35,300,OMNI,,120,0.3,0.9,,,1,1,40,480,1,480,10,12000,10,20,300,0.2,4,4,,,320 (0.75x),450,,,"CIVILIAN, TANKER","ocua_basic_bp, ocua",,0.85,2,3,,410302
Sophis C,ocua_sophis_c,Light Freighter,Oculian,ocua_mollusc,4,2200,300,2500,,200,40,,110,90,90,50,35,300,OMNI,,120,0.3,0.9,,,1,1,280,50,1,50,10,12000,10,20,300,0.2,4,4,186.67 (0.75x),280,,,,,"CIVILIAN, FREIGHTER","ocua_basic_bp, ocua",,0.85,2,3,,410302.1
Sconis,ocua_sconis,Light Destroyer,Oculian,ocua_ionburstdrive,5,2500,350,4000,,200,55,,180,160,140,75,60,250,FRONT,,300,0.3,0.7,,,15,20,80,105,1.5,70,11,18000,12,10,360,0.2,7,7,,,,,,,,"ocua_general_bp, ocua",,0.85,2,3,,410303
Maximis,ocua_maximis,Destroyer,Oculian,ocua_energyfeed,5,3500,450,3000,,250,50,,105,110,90,60,70,350,FRONT,,300,0.3,0.9,,,10,15,70,75,1.5,50,10,26000,12,12,360,0.2,10,10,,,,,,,,"ocua_general_bp, ocua, req_military",,0.85,2,3,,410304
Tsundere,ocua_tsundere,Destroyer,Oculian,ocua_energyfeed,6,2500,150,5000,,400,65,,135,125,100,60,45,300,FRONT,,300,0.3,0.8,,,15,20,50,60,1.2,50,10,32000,10,10,360,0.2,9,9,,,,,,,,"rare_bp, ocua",,0.85,2,3,,410305
Doris,ocua_doris,Armored Destroyer,Oculian,ocua_mollusc_x2,7,4000,550,3000,,250,55,1,90,90,70,50,40,350,FRONT,,300,0.3,0.9,,,20,30,70,75,1.5,50,10,30000,10,10,420,0.2,11,11,,,,,,,SHIP_WITH_MODULES,"ocua_general_bp, ocua",,0.85,2,3,,410306
,ocua_doris_shield,Shield Generator,,,1,500,500,3000,,150,30,,0,0,0,10,10,50,FRONT,,360,0.3,0.8,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,2,2,,410306.01
Storkis,ocua_storkis,Chrono Transport,Oculian,temporalshell,4,2500,250,2000,,100,35,,150,125,100,40,60,250,FRONT,,300,0.3,0.9,,,5,270,60,90,1.2,75,10,9000,10,15,300,0.2,3,3,,,,,,,"CIVILIAN, LINER","ocua_basic_bp, ocua",,0.85,2,3,,410307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimex,ocua_chimex,Carrier,Oculian,ocua_wingoverclock,11,5000,450,6000,,300,90,4,60,50,40,45,35,750,OMNI,,180,0.3,0.9,,,30,50,140,150,3,50,9,90000,8,12,480,0.2,18,18,,,,,,,CARRIER,"ocua_basic_bp, ocua",,0.75,2,3,,410400
Chimex (Mi),ocua_chimex_mi,Carrier,Mikanate,ocua_wingoverclock,15,5500,450,7500,,400,110,4,60,50,40,45,35,800,OMNI,,180,0.3,0.85,,,30,50,140,150,3,50,9,205000,8,12,480,0.2,22,22,,,,,,,CARRIER,"no_drop, ocua_basic_mi_bp, ocua, ocua_mikanate, req_military",,0.75,2,3,,410400
Ignix,ocua_ignix,Missile Carrier,Oculian,ocua_mollusc_x2,12,4000,350,5000,,200,100,,90,75,45,60,30,750,FRONT,,300,0.2,0.7,,,25,40,200,175,3.5,50,9,72000,9,12,480,0.2,16,16,,,,,,,,"ocua_basic_bp, ocua, req_military",,0.8,2,3,,410401
Nimbyx,ocua_nimbyx,Freighter,Oculian,ocua_energyfeed,8,8000,300,6000,,250,60,1,60,60,30,20,15,1000,OMNI,,180,0.3,0.9,,,10,180,800,1120,2.5,448,8,50000,8,20,420,0.2,9,9,176.89 (0.5025x),320,247.65 (0.5025x),448,,,"CIVILIAN, FREIGHTER, TANKER","ocua_general_bp, ocua",,0.85,3,4,,410402
Basilix,ocua_basilix,Linecruiser,Oculian,ocua_energyfeed,12,7000,650,9000,,650,110,,80,70,40,60,30,850,OMNI,,90,0.3,0.9,,,25,30,150,135,3,45,8,60000,8,12,480,0.2,18,18,,,,,,,,"ocua_general_bp, ocua, req_military",,0.75,2,3,,410403
Basilix (Mi),ocua_basilix_mi,Heavy Cruiser,Mikanate,ocua_energyfeed,18,8000,700,10000,,700,130,,80,70,40,60,30,900,OMNI,,90,0.3,0.85,,,30,40,180,150,3,50,8,180000,8,12,480,0.2,26,26,,,,,,,,"no_drop, ocua_general_mi_bp, ocua, ocua_mikanate, req_military",,0.75,2,3,,410403
Beatrix,ocua_beatrix,Monitor,Oculian,ocua_breeze_beatrix,10,5000,500,6000,,750,90,,60,60,45,40,25,800,OMNI,,180,0.2,0.9,,,20,20,120,150,3,50,9,90000,8,15,480,0.2,12,12,,,,,,,,"rare_bp, ocua, req_military",,0.8,2,3,,410404
Dorothyx,ocua_dorothyx,Armored Cruiser,Oculian,ocua_mollusc_x4,13,7000,900,7000,,450,100,2,50,100,75,60,40,1250,OMNI,,180,0.2,0.9,,,30,60,100,210,3.5,60,9,84000,8,12,540,0.2,20,20,,,,,,,SHIP_WITH_MODULES,"ocua_general_bp, ocua, req_military",,0.8,2,3,,410405
,ocua_dorothyx_shield,Shield Generator,,,1,1250,500,4000,,200,50,,0,0,0,10,10,125,OMNI,,360,0.2,0.8,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,2,2,,410405.01
Evalyx,ocua_evalyx,Phase Cruiser,Mikanate,ocua_energyfeed,22,5500,700,7000,,600,110,,80,60,35,40,25,1000,PHASE,phasecloak,,,,0.1,0.03,30,40,560,640,2.5,256,9,240000,8,12,300,0.2,36,36,56.57 (0.4125x),224,64.65 (0.4125x),256,,,,"no_drop, ocua_general_mi_bp, ocua, ocua_mikanate",,0.85,3,4,,410406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nadia,ocua_nadia,Battleship,Oculian,ocua_mollusc_x4,22,10000,1000,12000,,800,180,3,65,55,40,20,25,2400,OMNI,,180,0.3,0.9,,,50,90,350,375,7.5,50,8,270000,6,12,600,0.2,38,38,,,,,,,"SHIP_WITH_MODULES, CARRIER, COMBAT, NO_AUTO_ESCORT","ocua_general_bp, ocua, req_military",,0.85,2,4,,410500
,ocua_nadia_m_front,Shield Generator,,,1,2000,750,4000,,300,50,,0,0,0,10,10,150,FRONT,,60,0.3,0.8,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,2,2,,410500.01
Nadia (Mi),ocua_nadia_mi,Battleship,Mikanate,ocua_mollusc_mi_x4,28,12000,1100,14000,,900,200,3,60,50,40,20,25,2600,OMNI,,180,0.3,0.85,,,50,100,400,375,7.5,50,8,780000,6,12,600,0.2,44,44,,,,,,,"SHIP_WITH_MODULES, CARRIER, COMBAT, NO_AUTO_ESCORT","no_drop, ocua_general_mi_bp, ocua, ocua_mikanate, req_military",,0.85,2,4,,410500
,ocua_nadia_mi_m,Shield Generator,,,1,2000,750,5000,,350,60,1,0,0,0,10,10,200,FRONT,,60,0.3,0.8,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,2,2,,410500.01
Chimiria,ocua_chimiria,Heavy Carrier,Oculian,ocua_wingoverclock,26,8000,700,8000,,500,160,5,40,25,25,12,10,1800,FRONT,,360,0.3,0.9,,,70,120,400,400,8,50,8,300000,6,15,600,0.2,42,42,,,,,,,"SHIP_WITH_MODULES, CARRIER","ocua_general_bp, ocua, req_military",,0.8,2,4,,410501
,ocua_chimiria_m_l,Hangar,,ocua_wingoverclock,1,3000,500,3000,,400,50,2,0,0,0,10,10,600,FRONT,,60,0.3,0.9,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,3,3,,410501.01
,ocua_chimiria_m_r,Hangar,,ocua_wingoverclock,1,3000,500,3000,,400,50,2,0,0,0,10,10,600,FRONT,,60,0.3,0.9,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,3,3,,410501.01
Amina,ocua_amina,Fast Battleship,Oculian,ocua_ionburstdrive,26,12500,1200,15000,,1000,220,,80,40,30,25,12,3500,FRONT,,300,0.3,0.9,,,90,120,300,500,10,50,8,350000,6,12,600,0.2,40,40,,,,,,,,"rare_bp, ocua",,0.8,2,4,,410502
Etna,ocua_etna,Battlecruiser,Oculian,ocua_temporaloverclock,20,7000,850,8000,,600,150,,80,80,70,45,40,1700,OMNI,,180,0.3,0.9,,,40,70,250,250,5,50,9,180000,7,12,600,0.2,32,32,,,,,,,,"ocua_basic_bp, ocua",,0.85,2,4,,410503
Utena,ocua_utena,Phase Battleship,Oculian,ocua_energyfeed,30,9000,900,10000,,800,150,,60,50,40,15,10,2000,PHASE,phasecloak,,,,0.05,0.03,50,100,250,480,8,60,8,430000,6,20,420,0.25,48,48,,,,,,,,"rare_bp, ocua, req_military",,0.8,2,3,,410504
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandora,ocua_pandora,Dreadnought Carrier,Oculian,targetingfeed,45,16000,1150,15000,,900,230,5,40,25,15,8,7,5000,FRONT,,360,0.4,0.9,,,120,200,600,720,12,60,7,550000,5,12,720,0.2,68,68,,,,,,,"SHIP_WITH_MODULES, CARRIER, COMBAT, NO_AUTO_ESCORT","rare_bp, ocua, req_military",,0.75,3,5,,410600
,ocua_pandora_m_left,Section,,ocua_wingoverclock,1,5000,500,6000,,400,70,3,0,0,0,10,10,800,NONE,,0,0,0,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,2,3,,410600.01
,ocua_pandora_m_right,Section,,ocua_wingoverclock,1,5000,500,6000,,400,70,3,0,0,0,10,10,800,NONE,,0,0,0,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,2,3,,410600.02
,ocua_pandora_m_front,Section,,ocua_wingoverclock,1,3000,400,2000,,400,40,3,0,0,0,10,10,400,FRONT,,30,0.3,0.8,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,410600.03
Dulcena,ocua_dulcena,Dreadnought,Oculian,fortressshield,55,24000,1200,24000,,1200,230,,40,15,10,9,4,6500,OMNI,,120,0.4,0.8,,,200,250,800,840,14,60,7,640000,5,10,840,0.2,65,65,,,,,,,SHIP_WITH_MODULES,"rare_bp, ocua, req_military",,0.75,3,5,,410601
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galalixia,ocua_galalixia,Mothership,Oculian,targetingfeed,90,13500,1000,8000,,600,230,4,25,10,8,4,2,6000,OMNI,,120,0.2,0.9,,,200,300,2000,1400,20,70,7,1000000,4,12,900,0.2,108,108,,,,,,,"SHIP_WITH_MODULES, CARRIER","rare_bp, ocua, req_military",,0.75,3,5,,410700
,ocua_galalixia_m_front_left,Weapons Platform,,ocua_energyfeed,1,8500,700,8000,,500,105,,0,0,0,10,10,2000,NONE,,0,0,0,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,2,3,,410701.01
,ocua_galalixia_m_front_right,Weapons Platform,,ocua_energyfeed,1,8500,700,8000,,500,105,,0,0,0,10,10,2000,NONE,,0,0,0,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,2,3,,410701.02
,ocua_galalixia_m_mid_left,Hangar Platform,,ocua_wingoverclock,1,10000,900,7000,,450,65,2,0,0,0,10,10,2000,FRONT,,90,0.2,0.9,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,2,3,,410701.03
,ocua_galalixia_m_mid_right,Hangar Platform,,ocua_wingoverclock,1,10000,900,7000,,450,65,2,0,0,0,10,10,2000,FRONT,,90,0.2,0.9,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,2,3,,410701.04
,ocua_galalixia_m_rear_left,Command Complex,,targetingfeed,1,10000,900,7000,,450,65,2,0,0,0,10,10,2000,NONE,,0,0,0,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,2,3,,410701
,ocua_galalixia_m_rear_right,Command Complex,,targetingfeed,1,10000,900,7000,,450,65,2,0,0,0,10,10,2000,NONE,,0,0,0,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,2,3,,410701
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth,ocua_elizabeth,Flagship,Oculian,ocua_wingoverclock,52,17500,1250,15000,,1000,250,5,35,20,12,8,5,5000,FRONT,,360,0.4,0.9,,,140,250,650,780,12,65,7,750000,5,12,720,0.2,78,78,,,,,,,"SHIP_WITH_MODULES, CARRIER, COMBAT, HIDE_IN_CODEX",ocua,,0.75,3,5,,410900
,ocua_elizabeth_m_left,Section,,ocua_wingoverclock,1,6500,700,7500,,500,110,2,0,0,0,10,10,1000,NONE,,0,0,0,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,2,3,,410900.01
,ocua_elizabeth_m_right,Section,,ocua_wingoverclock,1,6500,700,7500,,500,110,2,0,0,0,10,10,1000,NONE,,0,0,0,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,2,3,,410900.02
,ocua_elizabeth_m_engine,Section,,ocua_breeze_beatrix,1,4500,600,6000,,400,80,2,35,20,12,8,5,800,NONE,,0,0,0,,,0,0,0,0,0,0,,5000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.85,2,3,,410900.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbital Station,ocua_station_lvl1,Station,,,100,20000,1600,1000,,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,411000
Battlestation,ocua_station_lvl2,Station,,,100,20000,1600,1000,,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,411000
Star Fortress,ocua_station_lvl3,Station,,ocua_station_drone,100,20000,1600,1000,,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,411000
,ocua_station_pillar_short,Structural Spur,,,1,5000,1500,0,,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,,411000.01
,ocua_station_pillar_tall,Structural Pillar,,,1,5000,2500,0,,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,,411000.02
,ocua_station_pillar_shield,Pillar Guard,,,1,5000,400,5000,,250,50,,0,0,0,10,10,400,FRONT,,90,0.2,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,411001
,ocua_station_module_gun_small,Weapons Section,,,1,5000,600,4000,,400,200,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,411002
,ocua_station_module_gun_medium,Weapons Platform,,,1,8000,1000,14000,,700,200,,0,0,0,10,10,400,FRONT,,240,0.2,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,411004
,ocua_station_module_gun_small_left,Weapons Section,,,1,4000,500,4000,,400,200,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,411005
,ocua_station_module_gun_small_right,Weapons Section,,,1,4000,500,4000,,400,200,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,411006
,ocua_station_ring,Ring Segment,,,1,8000,500,9000,,450,200,,0,0,0,10,10,400,FRONT,,60,0.2,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,411010
,ocua_station_ring_heavy,Ring Segment,,,1,10000,600,12000,,800,200,,0,0,0,10,10,400,FRONT,,60,0.2,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,411010
,ocua_station_shield_module,Shield Module,,,1,3000,450,18000,,300,50,,0,0,0,10,10,600,FRONT,,150,0.2,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,411011
,ocua_station_module_hangar_medium,Hangar Module,,ocua_wingoverclock,1,6000,800,7000,,350,200,4,0,0,0,10,10,1500,FRONT,,270,0.2,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,411020
,ocua_station_module_hangar_large,Hangar Command,,ocua_wingoverclock,1,10000,1000,10000,,500,200,6,0,0,0,10,10,2500,FRONT,,270,0.2,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,411021
