id,trigger,conditions,script,text,options,notes
prvFristadHunt2,DialogOptionSelected,$option == prvFristadHunt2,,With the abductor seemingly unharmed it slinks over a ridge and disappears from your sight. You give a brief pursuit before having to face the fact that you've lost track of the beast.,"prvFristadHunt3:Try to find the trail again
prvFristadHunt2End:There is little we can do. Return to the ship",
prvFristadHunt2End,DialogOptionSelected,$option == prvFristadHunt2End,"AddCommodity crew -1
ShowDefaultVisual
EndConversation","You notify the local authorities about the incident. They inform you that they'll send out a search rotor, but that chances of finding the man alive are poor.",,
prvFristadHunt3,DialogOptionSelected,$option == prvFristadHunt3,ShowImageVisual ilm,"You trudge through the freezing wilderness outside the Fristad spaceport for several hours without seeing neither hide nor hair of any life at all. A brief trail of blood spatters gives you hope, but a small stream interrupts the trail and you fail to pick it up again.","prvFristadHunt4:Persist
prvFristadHunt3End:Return to the ship",
prvFristadHunt3End,DialogOptionSelected,$option == prvFristadHunt3End,"AddCommodity crew -1
ShowDefaultVisual
EndConversation","Having neither the clothes, the equipment nor the expertise to track such a creature, you're bitterly forced to abandon your man.",,
prvFristadHunt4,DialogOptionSelected,$option == prvFristadHunt4,,The freezing cold of the outdoors goes from unpleasant to threatening as you insist on continuing to search in the wilderness. You find the occasional broken branch or muddy footprint that suggests that a large creature has recently went ahead of you.,prvFristadHunt41:Continue,
prvFristadHunt41,DialogOptionSelected,$option == prvFristadHunt41,,"Eventually the sun begins to fall, and your one of your men addresses you: ""Sir, we need to return to the ship. We're out of our element, we have no clear path forward, and it's getting dark.""","prvFristadHunt5:Persist
prvFristadHunt4End:Return to the ship",
prvFristadHunt4End,DialogOptionSelected,$option == prvFristadHunt4End,"AddCommodity crew -1
ShowDefaultVisual
EndConversation","You're forced to agree. You've done everything you could, to no avail. ",,
prvFristadHunt5,DialogOptionSelected,$option == prvFristadHunt5,,"Looking the men in the eye, you berate them for abandoning a comrade in his time of need. On your insistence they agree to continue the search.",prvFristadHunt51:Continue,
prvFristadHunt51,DialogOptionSelected,$option == prvFristadHunt51,AddCommodity crew -2,"As dusk turns to night, your men disappear one by one. The first two loudly announced that they were abandoning the 'hopeless' search. ",prvFristadHunt52:Continue,
prvFristadHunt52,DialogOptionSelected,$option == prvFristadHunt52,AddCommodity crew -3,"A third took a bad step and fell down a ravine, breaking his leg. You ordered numbers four and five to see him back to town.",prvFristadHunt53:Continue,
prvFristadHunt53,DialogOptionSelected,$option == prvFristadHunt53,"AddCommodity crew -1
SetStoryOption prvFristadHunt6 1 prvFristadHunt ui_char_spent_story_point_combat ""Saved comrade from tripedal abductor on Fristad""",Your last bodyguard disappeared with a rustling sound and a cut-off yelp. In the darkness of the night you're reduced to following the narrow cone of a borrowed flashlight.,"prvFristadHunt6:Persist
prvFristadHunt5End:Return to town.",
prvFristadHunt5End,DialogOptionSelected,$option == prvFristadHunt5End,"ShowDefaultVisual
EndConversation","Bitterly returning to the ship after many hours, you feel exhausted and defeated. The group you sent back are still unaccounted for. Your men look at you with scepticism and sympathy.",,
prvFristadHunt6,DialogOptionSelected,$option == prvFristadHunt6,,You insist on continuing your pursuit through the freezing dark. After what feels like an eternity you hear a faint moaning in the distance.,prvFristadHunt61:Continue,
prvFristadHunt61,DialogOptionSelected,$option == prvFristadHunt61,,"Marshalling your last bits of stamina, you turn off your flashlight, draw your sidearm, and quickly and quietly approach the sound.",prvFristadHunt62:Continue,
prvFristadHunt62,DialogOptionSelected,$option == prvFristadHunt62,,"In the last faint penumbra of daylight you see a large triped shape shuffling around, investigating a dark shape on the ground.",prvFristadHunt7:End it,
prvFristadHunt7,DialogOptionSelected,$option == prvFristadHunt7,,In one smooth movement you flick on your flashlight and shoot the creature in its chest. You fire until the barrel is red hot in the black night. Even perforated by a dozen microgauss rounds the beast takes several seconds to fall over with a discordant wail.,prvFristadHunt71:Continue,
prvFristadHunt71,DialogOptionSelected,$option == prvFristadHunt71,,"On investigation the dark shape turns out to be your missing crewman, bloodied and unresponsive. You administer basic first aid, signal your ship crew, and set down to await relief.",prvFristadHunt72:Continue,
prvFristadHunt72,DialogOptionSelected,$option == prvFristadHunt72,,"After several long, dark, cold eternities you wake from an unwilling rest to the sound of a rotorcraft and a calm voice telling you that ""We got you, it's gonna be OK.""",prvFristadHunt73:Continue,
prvFristadHunt73,DialogOptionSelected,$option == prvFristadHunt73,"$player.EthosHumanist++
$player.EthosCynic--
ShowDefaultVisual","You come to in a medbay by the spaceport, surrounded by your executive officer, your ship doctor, and a few guards.",prvFristadHunt74:Continue,
prvFristadHunt74,DialogOptionSelected,$option == prvFristadHunt74,"AddCommodity crew 1
AddCommodity crew 3","They inform you that the man you rescued will most likely make a passable recovery. The men you sent back also made it, exhausted and with one broken leg but otherwise in good humor. However the deserters and the final missing man are still unaccounted for.",prvFristadHunt75:Continue,
prvFristadHunt75,DialogOptionSelected,$option == prvFristadHunt75,EndConversation,As you are greeted by the bridge crew on your return you think that you have rarely seen more crisp salutes.,,
,,,,,,
### Hallar,,,,,,
prvHallarBPHook,PopulateOptions,"$id == prv_hallar_station score:1000
!$player.investigatedHallar","SetStoryOption prvHallarBPAssess 1 prvAssessedHallar ui_char_spent_story_point_technology ""Reverse-engineered Höga Hallar""",The station is abandoned but structurally intact. This would be an ideal opportunity to investigate how it works and gain some insight into prv megastructure technology.,prvHallarBPAssess:Assess structure,
prvHallarBPAssess,DialogOptionSelected,$option == prvHallarBPAssess,"PrvInvestigateHallar
ShowImageVisual ai_core_uninstall
$player.investigatedHallar = true
FireAll PopulateOptions","Dispatching every man of your crew to scan, probe, analyze, kick over, examine, or otherwise interrogate every inch of the station yields results - after many hours of exploration one of your teams have located a well-protected data core near the heart of the gargantuan structure, which promises to contain a full technical schematic of the station. 

Medbay reports that the man who found it should make a full recovery. Some defensive turret still had a trickle of power left.",,
,,,,,,
### Noble Corporate,,,,,,
prvPettyNobHook,DialogOptionSelected,"$id == prv_stjarngard_utbo_station score:1000
$option == marketVisitBar
RepGTE $faction.id FAVORABLE
!$player.prvPettyNobChat","$player.prvPettyNobChat = true 60
FireBest BarShuttleDownPrintDesc
FireBest BarPrintDesc
FireBest prvPettyNobHook1",,,
prvPettyNobHook1,prvPettyNobHook1,,"SetShortcut prvPettyNobDifferentBar ""ESCAPE""",A group of festive youths have claimed most of the bar and are buying drinks for anyone around them.,"prvPettyNobIntro:Join the festive youths
prvPettyNobDifferentBar:Find a different bar",
prvPettyNobDifferentBar,DialogOptionSelected,$option == prvPettyNobDifferentBar,"$option = marketVisitBar
FireBest BarPrintDesc
BarCMD showOptions","Not wanting to get caught up in anything - or at least, not in whatever those kids were up to - you amble along the concourse until you find a marginally less likely establishment.",,
prvPettyNobIntro,DialogOptionSelected,$option == prvPettyNobIntro,"SetShortcut prvPettyNobLeaveDiscretely ""ESCAPE""","Mingling with the young men you find out that one of their party will be presented with his noble commission tomorrow. Spirits are high, and flowing freely.","prvPettyNobMainIntro:Join the festivities
prvPettyNobLeave:Present your best wishes before leaving
prvPettyNobLeaveDiscrete:Leave discretely",
prvPettyNobLeave,DialogOptionSelected,$option == prvPettyNobLeave,"$player.ethosHonorable++
$player.prvPettyNobChat = true",You offer the young man best of luck with his future career before leaving the group.,prvPettyNobBackToBar:Continue,
prvPettyNobLeaveDiscrete,DialogOptionSelected,$option == prvPettyNobLeaveDiscrete,$player.prvPettyNobChat = true,You quietly slip away from the increasingly boisterous party.,prvPettyNobBackToBar:Continue,
prvPettyNobBackToBar,DialogOptionSelected,$option == prvPettyNobBackToBar,"$option = marketVisitBar
BarCMD showOptions",Escaping the growing din of celebration you look over the less jubilant bar visitors.,,
prvPettyNobMainIntro,DialogOptionSelected,$option == prvPettyNobMainIntro,,"Mingling with the cadets, merchants sons, libertines, romantics and assorted hangers on you find yourself fascinated by the naive optimism of the youths. In a time defined by disaster and decay they seem utterly convinced that they are indestructible and that tomorrow belongs to them.","prvPettyNobMainIntro1:These are the future leaders of the prv, still untested and untried
prvPettyNobMainIntro2:You find yourself almost jealous of their spirit
prvPettyNobMainIntro3:These kids wouldn't last a cycle on the fringe
prvPettyNobMainIntro4:It is heartening to see such optimism",
prvPettyNobMainIntro1,DialogOptionSelected,$option == prvPettyNobMainIntro1,"$option = prvPettyNobMain
FireBest DialogOptionSelected
$player.ethosOrder++",,,
prvPettyNobMainIntro2,DialogOptionSelected,$option == prvPettyNobMainIntro2,"$option = prvPettyNobMain
FireBest DialogOptionSelected
$player.ethosIdealistic++",,,
prvPettyNobMainIntro3,DialogOptionSelected,$option == prvPettyNobMainIntro3,"$option = prvPettyNobMain
FireBest DialogOptionSelected
$player.ethosCynical++",,,
prvPettyNobMainIntro4,DialogOptionSelected,$option == prvPettyNobMainIntro4,"$option = prvPettyNobMain
FireBest DialogOptionSelected
$player.ethosHumanist++",,,
prvPettyNobMain,DialogOptionSelected,$option == prvPettyNobMain,"$option = prvPettyNobMain1
FireBest DialogOptionSelected
BeginConversation prv_ivarsson
ShowPersonVisual","As the night drags long and the wolf hour approaches you find yourself in a conversation with one of the older men from the group, discussing history and politics and more specifically the byzantine structure of the prv.",,
prvPettyNobMain1,DialogOptionSelected,$option == prvPettyNobMain1,"SetShortcut prvPettyNobMainLeave ""ESCAPE""",,"prvPettyNobMainCorp:I don't understand how you can be a noble in a corporation
prvPettyNobMainHouses:Tell me about the great houses
prvPettyNobMainUtbo:What's the deal with Utbo? Bunch of farmers and people playing as knights?
prvPettyNobMainLeave:I think that's enough for tonight",
prvPettyNobMainCorp,DialogOptionSelected,$option == prvPettyNobMainCorp,,"""Well it's... it's like this right, if you supply a fully armed warship you get a discount on your membership fees. The- *hic* the Heggies would call them an income tax but it's really entirely voluntary. Anyway these fees can get pretty hefty for the estates of the richer families. You know the ones that own all this here-"" He makes some curious waving gesture with one arm. ""- all this stuff. They commission a ship, two ships, a squadron, so on, send off one of their sons to command it, keep an eye on it, and in exchange they get to stay rich.""",prvPettyNobMainCorp1:Continue,
prvPettyNobMainCorp1,DialogOptionSelected,$option == prvPettyNobMainCorp1,,"At this point the man's gesturing knocks his drink over the side of the table, and as the hardened glass hits the ground a small lid slams over the top of the container, saving the amber contents. Most bizarre.",prvPettyNobMainCorp2:Continue,
prvPettyNobMainCorp2,DialogOptionSelected,$option == prvPettyNobMainCorp2,,"Unperturbed he continues, ""But young Jonathan here, his father - my brother - he's been doing well, owns a small trading house, consumer appliances. Kid'll be the first in the family to serve as a CO. You're a spacer, aren't you?"" ","prvPettyNobMainCorpConfirm:Confirm
prvPettyNobMainCorpDeny:Deny (lie)",
prvPettyNobMainCorpConfirm,DialogOptionSelected,$option == prvPettyNobMainCorpConfirm,#$player.ethosTruth++,"""When you're out there, keep an eye out for the prv Edge effect, it's a Flamma-class frigate. Good ship; graviton core's barely 40 cycles old. I helped his father outfit it, got all the best blasters.""",prvPettyNobMainCorp3:Continue,
prvPettyNobMainCorpDeny,DialogOptionSelected,$option == prvPettyNobMainCorpDeny,#$player.ethosLiar++,"""Hmph. Have another drink, you're too uptight.""",prvPettyNobMainCorp3:Continue,
prvPettyNobMainCorp3,DialogOptionSelected,$option == prvPettyNobMainCorp3,,"""Now, strictly speaking it's not nobility, we don't have kings and queens or anything like that. I think the term actually started as a mockery. But the estate is all heritable, and who can you trust to actually come back with your ships other than blood relations?""","prvPettyNobMainCorpHireSomeone:But why the personal command? Surely you could hire someone
prvPettyNobMainCorpGotAPoint:You've got a point
prvPettyNobMainCorpNotMine: I wouldn't trust any of mine",
prvPettyNobMainCorpHireSomeone,DialogOptionSelected,$option == prvPettyNobMainCorpHireSomeone,"#$player.ethosIdealistic++
$option = prvPettyNobMain1
FireBest DialogOptionSelected","""Some do. Some do. But how many people do you know who you'd trust with a hundred thousand credits? Even if the Perseans wouldn't pay for your ship, Kanta sure would.""

""And while I mean no disrespect to the Lion Andrada, the Heggies got to learn this lesson the hard way.""",,
prvPettyNobMainCorpGotAPoint,DialogOptionSelected,$option == prvPettyNobMainCorpGotAPoint,"#$player.ethosCynical++
$option = prvPettyNobMain1
FireBest DialogOptionSelected","""Damn right I do."" He finishes his drink for emphasis.",,
prvPettyNobMainCorpNotMine,DialogOptionSelected,$option == prvPettyNobMainCorpNotMine,"$option = prvPettyNobMainCorpNotMine
FireBest DialogOptionSelected",,,
#prvPettyNobMainCorpNotMine1a,DialogOptionSelected,"$option == prvPettyNobMainCorpNotMine
!$player.prvPettyNobDistrustsFamily score:50","AdjustRepActivePerson SUSPICIOUS -5
$player.ethosCynical++
$player.prvPettyNobDistrustsFamily 1
$option = prvPettyNobMain1
FireBest DialogOptionSelected","He peers at you over his drink for an uncomfortably long time before speaking: ""No, I suppose you wouldn't.""",,
prvPettyNobMainCorpNotMine1,DialogOptionSelected,$option == prvPettyNobMainCorpNotMine,"$option = prvPettyNobMain1
FireBest DialogOptionSelected","He peers at you over his drink for an uncomfortably long time before speaking: ""No, I suppose you wouldn't.""",,
prvPettyNobMainHouses,DialogOptionSelected,$option == prvPettyNobMainHouses,"$option = prvPettyNobMainHouses1
FireBest DialogOptionSelected","""They're big. They're rich. They're powerful. That's about all they have in common. Is there a particular one you wanted to know about?""",,
prvPettyNobMainHouses1,DialogOptionSelected,$option == prvPettyNobMainHouses1,"SetShortcut prvPettyNobMainHousesBack ""ESCAPE""",,"prvPettyNobMainHousesGyllenhaag:House Gyllenhaag
prvPettyNobMainHousesRyak:The Ryak High-Energy Labs
prvPettyNobMainHousesParia:CzU-Pariabyrån
prvPettyNobMainHousesWorks:The Works United
prvPettyNobMainHousesFFV:Förenade Fissionsverken
prvPettyNobMainHousesPerseiska:Perseiska Kompaniet
prvPettyNobMainHousesRegal:Mångtekniska Regalvarven
prvPettyNobMainHousesATH:Tidsbörsen ATH
prvPettyNobMainHousesBack:Enough about the houses",
,,,,,,
### TEST,,,,,,
#prvPettyNobMainHouses1,DialogOptionSelected,$option == prvPettyNobMainHouses1,FireAll prvPettyNobHouseIndex,,,
#prvPettyNobHouseIndexOptGyllenhaag,prvPettyNobHouseIndex,!$player.prvPettyNobGyllenhaag,,,prvPettyNobMainHousesGyllenhaag:House Gyllenhaag,
#prvPettyNobHouseIndexOptRyak,prvPettyNobHouseIndex,!$player.prvPettyNobRyak,,,prvPettyNobMainHousesRyak:The Ryak High-Energy Labs,
#prvPettyNobHouseIndexOptParia,prvPettyNobHouseIndex,!$player.prvPettyNobParia,,,prvPettyNobMainHousesParia:CzU-Pariabyrån,
#prvPettyNobHouseIndexOptWorks,prvPettyNobHouseIndex,!$player.prvPettyNobWorks,,,prvPettyNobMainHousesWorks:The Works United,
#prvPettyNobHouseIndexOptFFV,prvPettyNobHouseIndex,!$player.prvPettyNobFFV,,,prvPettyNobMainHousesFFV:Förenade Fissionsverken,
#prvPettyNobHouseIndexOptPerseiska,prvPettyNobHouseIndex,!$player.prvPettyNobPerseiska,,,prvPettyNobMainHousesPerseiska:Perseiska Kompaniet,
#prvPettyNobHouseIndexOptRegal,prvPettyNobHouseIndex,!$player.prvPettyNobRegal,,,prvPettyNobMainHousesRegal:Mångtekniska Regalvarven,
#prvPettyNobHouseIndexOptATH,prvPettyNobHouseIndex,!$player.prvPettyNobATH,,,prvPettyNobMainHousesATH:Tidsbörsen ATH,
#prvPettyNobHouseIndexOptBack,prvPettyNobHouseIndex,,"SetShortcut prvPettyNobMainHousesBack ""ESCAPE""",,prvPettyNobMainHousesBack:Enough about the houses,
### END TEST,,,,,,
,,,,,,
prvPettyNobMainHousesGyllenhaag,DialogOptionSelected,$option == prvPettyNobMainHousesGyllenhaag,$player.prvPettyNobGyllenhaag = true 1,"""Got a buddy there, nephew of a cousin to Mikael Gyllenhaag or something like that. Anyway he says they've got some organic vat-grown stuff that's going to change the world. I doubt it, the corporation makes its money on logistics and deep space construction - what do they know about biotech?""",prvPettyNobMainHousesGyllenhaag1:Continue,
prvPettyNobMainHousesGyllenhaag1,DialogOptionSelected,$option == prvPettyNobMainHousesGyllenhaag1,"$option = prvPettyNobMainHouses1
FireBest DialogOptionSelected","Waving a finger in the air he goes on: ""If there's any house that's a family business it's this one. The Gyllenhaags hold just about all the executive positions, and own controlling interests in everything from agrav to zk-snarkers.""",,
prvPettyNobMainHousesRyak,DialogOptionSelected,$option == prvPettyNobMainHousesRyak,"$player.prvPettyNobRyak = true 1
$option = prvPettyNobMainHouses1
FireBest DialogOptionSelected","""Ehh they're not really a proper house. It's owned in shares by everyone else, not even allowed to operate its own warships. They make some cool stuff though, I got an agrav bed, really saves on space. Wife loves it too."" He's already ruddy from a night of drinking, but is that a blush? May just be your own drink playing with your head.",,
prvPettyNobMainHousesParia,DialogOptionSelected,$option == prvPettyNobMainHousesParia,$player.prvPettyNobParia = true 1,"""Bunch of spooks and spies. Freaks and weirdoes. I stay away from them and you should too.""",prvPettyNobMainHousesParia1:Continue,
prvPettyNobMainHousesParia1,DialogOptionSelected,$option == prvPettyNobMainHousesParia1,"$option = prvPettyNobMainHouses1
FireBest DialogOptionSelected","""Their media division puts out good holos though, I'll grant them that. They've also got the market cornered on security services, everything from cameras and mallcops to black ICE and special ops.""",,
prvPettyNobMainHousesWorks,DialogOptionSelected,$option == prvPettyNobMainHousesWorks,$player.prvPettyNobWorks = true 1,"""Heavy industry. Heavy movers. Stay out of their way or you'll get run over. The air is very thin on that space station. Lots of 'accidents' among the top executives. Keeps them sharp, I guess. Not for me.""",prvPettyNobMainHousesWorks1:Continue,
prvPettyNobMainHousesWorks1,DialogOptionSelected,$option == prvPettyNobMainHousesWorks1,"$option = prvPettyNobMainHouses1
FireBest DialogOptionSelected","""They got a lot of Utboers working among them in the lower rungs. I think they're trying to infiltrate the place, take it over. I don't know. Not my problem. Just save me from having to listen to their stupid accents.""",,
prvPettyNobMainHousesFFV,DialogOptionSelected,$option == prvPettyNobMainHousesFFV,$player.prvPettyNobFFV = true 1,"""'The power company'. Makes just about every fusion engine you'll find around here. Lots of trade with nukes, volatiles and organics too, got a monopoly on exports from Nedan."" ",prvPettyNobMainHousesFFV1:Continue,
prvPettyNobMainHousesFFV1,DialogOptionSelected,$option == prvPettyNobMainHousesFFV1,"$option = prvPettyNobMainHouses1
FireBest DialogOptionSelected","""Technically they're a merger of two conglomerates, and I hear they're just one bad year away from liquidating one or the other. But I've heard that for twenty years now.""",,
prvPettyNobMainHousesPerseiska,DialogOptionSelected,$option == prvPettyNobMainHousesPerseiska,$player.prvPettyNobPerseiska = true 1,"""They call themselves traders. Hah! They're a warfleet, everything in the house exists solely to support their navy.""",prvPettyNobMainHousesPerseiska1:Continue,
prvPettyNobMainHousesPerseiska1,DialogOptionSelected,$option == prvPettyNobMainHousesPerseiska1,"$option = prvPettyNobMainHouses1
FireBest DialogOptionSelected","""But those ships? I wouldn't mess around with them. Kompaniet pays its dues in violence, and they deliver it in abundance.""",,
prvPettyNobMainHousesRegal,DialogOptionSelected,$option == prvPettyNobMainHousesRegal,$player.prvPettyNobRegal = true 1,"""There's this fancy corp term, 'vertical integration', you know? When you make everything you need to build something really fancy. That's Regalvarven. They commissioned a new Aska last year and every single piece of it, from the instant meals in the canteen to the main reactor, was supposedly made by some manufacturer owned by the house. Probably not true, but probably not far off from true either.""",prvPettyNobMainHousesRegal1:Continue,
prvPettyNobMainHousesRegal1,DialogOptionSelected,$option == prvPettyNobMainHousesRegal1,"$option = prvPettyNobMainHouses1
FireBest DialogOptionSelected","""Now they used to be a lot richer, but the failure of the Yttre Bortom colony has them down on their luck."" He scratches his beard. ""I don't know much about that really. The media kept blaming Tritachyon sabotage, but I'm not sure what they're supposed to have actually done. I think they're just covering for their own screwups.""",,
prvPettyNobMainHousesATH,DialogOptionSelected,$option == prvPettyNobMainHousesATH,$player.prvPettyNobATH = true 1,"""Ugh, they make my head hurt. Once I got an invoice for a tachyon analyzer I was due to purchase next week. I had no such plans. And you know what? The fuckers were right, I ended up needing one."" ",prvPettyNobMainHousesATH1:Continue,
prvPettyNobMainHousesATH1,DialogOptionSelected,$option == prvPettyNobMainHousesATH1,"$option = prvPettyNobMainHouses1
FireBest DialogOptionSelected","""Jonathan just laughs at me and says they've got some AI running behavior prediction on us. I don't know about that.""",,
prvPettyNobMainHousesBack,DialogOptionSelected,$option == prvPettyNobMainHousesBack,"$option = prvPettyNobMain1
FireBest DialogOptionSelected",,,
,,,,,,
prvPettyNobMainUtbo,DialogOptionSelected,$option == prvPettyNobMainUtbo,,"""This is gonna be a long one. Ready?""","prvPettyNobMainUtbo1:Yeah
prvPettyNobMainUtboOutro:Maybe some other time",
prvPettyNobMainUtbo1,DialogOptionSelected,$option == prvPettyNobMainUtbo1,,"""What I've heard is that even before the collapse some religious communalist group ran the place. Complete maniacs, even by Luddic standards. Wasn't too bad until they took control of the ground batteries, at which point they started shooting down any ship that approached the planet. This happened around c30, so a long time ago now."" ",prvPettyNobMainUtbo2:Continue,
prvPettyNobMainUtbo2,DialogOptionSelected,$option == prvPettyNobMainUtbo2,,"""Anyway long story short they put the planet in self-isolation, but ultimately managed to make themselves very unpopular, something about agrarian reforms. Ended badly, millions of people dead. After just a few cycles central authority had degenerated pretty badly, and people turned to banditry.""",prvPettyNobMainUtbo3:Continue,
prvPettyNobMainUtbo3,DialogOptionSelected,$option == prvPettyNobMainUtbo3,,"""The more successful bandits would set up an area of their own that they required protection money - taxes - from and took all kinds of titles, 'King', 'General', 'President' and so on.""",prvPettyNobMainUtbo4:Continue,
prvPettyNobMainUtbo4,DialogOptionSelected,$option == prvPettyNobMainUtbo4,,"""The greatest of the bandits was Karl Barre, would accept an oath of fealty from landholders, no questions asked about how they got the land, in exchange for protection. Supposedly he got the idea from an old holo. Dunno if I believe that part. Regardless, he ended up with a lot of people signing up with him, sometimes voluntarily, sometimes less so.""",prvPettyNobMainUtbo5:Continue,
prvPettyNobMainUtbo5,DialogOptionSelected,$option == prvPettyNobMainUtbo5,,"""Regardless, while this is going on the entire sector is going to hell in a handbasket and no one is really in any position to worry about what's going on planetside. But eventually the various minor trade houses at The Works unify for a moment to ask 'Why don't we run that place? We're up here, and they're down there.' A couple of cycles later they had founded the The Works United conglomerate framework, did a fairly impressive orbital drop to take control of the ground batteries, and took full control of all trade with Utbo.""",prvPettyNobMainUtbo6:Continue,
prvPettyNobMainUtbo6,DialogOptionSelected,$option == prvPettyNobMainUtbo6,,"""They didn't really have much influence on what happens planetside, still don't, and they don't really care to either. The Utbo crown wants a closed border to help maintain their authority, and so long as they get that they're happy to send up some tithes to the station."" ",prvPettyNobMainUtbo7:Continue,
prvPettyNobMainUtbo7,DialogOptionSelected,$option == prvPettyNobMainUtbo7,,"""Not that they have much choice - so long as The Works have guns in orbit they can't retake the ground batteries, and without the batteries they can't take out the orbiting guns.""",prvPettyNobMainUtbo8:Continue,
prvPettyNobMainUtbo8,DialogOptionSelected,$option == prvPettyNobMainUtbo8,"$option = prvPettyNobMain1
FireBest DialogOptionSelected","""These days CzU recruit almost half their marines from the natives, and they've got so many of them signing up that only one in ten planetside applicants ever make it into space. I sure hope they're selecting for loyalty.""",,
prvPettyNobMainUtboOutro,DialogOptionSelected,$option == prvPettyNobMainUtboOutro,"$option = prvPettyNobMain1
FireBest DialogOptionSelected","""Fine by me. To ignorance!"" He raises his glass to you and drinks deeply. You're not entirely sure he's mocking you, but you have your suspicions.",,
,,,,,,
prvPettyNobMainLeave,DialogOptionSelected,$option == prvPettyNobMainLeave,FireBest ReturnFromBar,,,
,,,,,,
,,,,,,
,,,,,,
# relationship level descriptions,,,,,,
# PRV,,,,,,
relLevelCooperativePrv,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == prv",FireAll RelLevelMoreDescription,"Stories of your exploits inspire young blood across the prv into ever more reckless ambition, while the various houses move mercilessly against each other as they try to be the ones to guide your hand.",,
relLevelFriendlyPrv,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == prv",FireAll RelLevelMoreDescription,"You seem to have become a focal point in the political scheming inside the prv, with several houses trying to use you to further their latest plots. Few doors are closed to you.",,
relLevelWelcomingPrv,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == prv",FireAll RelLevelMoreDescription,"You’ve found yourself on the good side of a few nobles, who see you as a charming rogue and a reliable agent. You can expect to get away with some minor indescretions.",,
relLevelFavorablePrv,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == prv",FireAll RelLevelMoreDescription,"You’ve picked up a swagger and a sense of how things are done in the prv, a whiff of the winds of power. You find yourself bothering less and less with formal avenues, and meeting less resistance in turn.",,
relLevelNeutralPrv,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == prv",FireAll RelLevelMoreDescription,"The prv care little for you one way or another, and are unlikely to involve you in their schemes.",,
relLevelSuspiciousPrv,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == prv",FireAll RelLevelMoreDescription,"An unreliable agent, a less-than-charming rogue, and a killer for hire; you are not respected in the prv, but you are tolerated. For now.",,
